,Unnamed: 0,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer,pix,theta,phi
35,46,PSZ2 G014.33+60.23,221.9786505,14.7693644,0.219834,4.365911,            ,RMJ144756.9+144532.6,2,0.2502362702832891,1.0512742911073538
36,48,PSZ2 G015.75-28.66,303.07718430000006,-26.705429100000003,0.149,3.260183,            ,                    ,34,0.27490327391643016,-0.5002915532933211
37,52,PSZ2 G018.18-60.00,338.7121482,-30.541864500000003,0.2515,4.868449,J2234.8-3033,                    ,34,0.31739349617845497,-1.0473010204544064
38,53,PSZ2 G018.32-28.50,303.7003493,-24.5105117,0.1612,5.092264,J2014.8-2430,                    ,34,0.3198289336504372,-0.49754592461274194
39,54,PSZ2 G018.54-25.69,300.8655664,-23.3915128,0.3171,8.991968,J2003.5-2323,                    ,34,0.32359946374091736,-0.4484085232744185
40,56,PSZ2 G018.73+23.56,255.5775358,-1.0240251,0.08900000000000001,3.968832,            ,                    ,2,0.3269064186815882,0.4112211974234918
41,59,PSZ2 G018.84+22.43,256.6066931,-1.5032816999999998,0.0912,3.603171,J1706.4-0132,                    ,19,0.3289108366642054,0.3914970109905828
42,61,PSZ2 G019.12+31.23,249.12273340000002,3.1476374,0.28,6.649408,            ,                    ,2,0.3338685620658095,0.5451795200428106
43,62,PSZ2 G019.48-80.97,2.8223237,-28.8688278,0.062,2.606369,J0011.3-2851,                    ,32,0.3401238035482413,-1.41321694272189
44,63,PSZ2 G020.08+37.47,244.06748030000003,6.913715,0.332806,5.477802,            ,RMJ161610.2+065504.4,2,0.35054638322957454,0.6540524111115481
45,66,PSZ2 G020.66+37.99,243.8319244,7.5709252000000005,0.34513299999999997,5.652531,            ,RMJ161505.4+073455.4,2,0.3607575305329712,0.6631625212693145
46,68,PSZ2 G021.08+38.00,243.98219759999998,7.859833999999999,0.3815,6.1657720000000005,            ,RMJ161556.0+074819.1,2,0.367954611650437,0.6632905157445999
47,69,PSZ2 G021.10+33.24,248.1988722,5.5921886,0.1514,7.788314999999999,J1632.7+0534,                    ,2,0.3684183322679399,0.5801796673267592
48,70,PSZ2 G021.36-43.02,319.8962353,-26.2017251,0.38,5.8108,            ,                    ,34,0.37296973889430035,-0.7509214532667562
49,72,PSZ2 G022.12-38.81,315.55111380000005,-24.572872600000004,0.188,3.731324,J2102.1-2431,                    ,34,0.38612348634083793,-0.677418661415502
50,73,PSZ2 G022.98+19.49,261.0687148,0.41546819999999995,0.4044,6.790033,            ,                    ,0,0.40119018217284497,0.3402019507074409
51,75,PSZ2 G023.17+86.71,196.4731079,26.5261837,0.3063,5.03305,J1306.0+2630,RMJ130558.9+263048.4,3,0.4044867135470004,1.5135444487365135
52,76,PSZ2 G023.40-15.26,292.4921503,-15.193525400000002,0.0829,2.369741,J1930.0-1509,                    ,17,0.4085567887999591,-0.26635988961367063
53,78,PSZ2 G024.44+22.76,258.83517140000004,3.1718234,0.1647,4.505844000000001,J1715.2+0309,                    ,2,0.4266119011715932,0.397387113172213
54,82,PSZ2 G025.13-75.88,356.9603376,-28.1425857,0.03,1.480293,J2347.7-2808,                    ,32,0.43865747373902614,-1.3245006183055787
55,86,PSZ2 G026.73-38.94,316.84284130000003,-21.184006699999998,0.20199999999999999,5.409047,            ,                    ,34,0.46660209434749383,-0.6797787516577335
56,95,PSZ2 G028.05+25.43,257.9791287,7.322971099999999,0.284,6.629103999999999,            ,                    ,2,0.48958054214959096,0.44394628181871254
57,96,PSZ2 G028.08+10.79,271.0559615,0.6584937,0.0882,3.2859870000000004,J1804.1+0042,                    ,17,0.49013395584510616,0.18839337830000788
58,98,PSZ2 G028.63+50.15,235.03317290000004,17.8986616,0.0916,3.249135,J1540.1+1752,RMJ154018.0+175304.2,2,0.4996935374770336,0.8753978270095799
59,99,PSZ2 G028.77-33.56,312.0614471,-17.808966100000003,0.1475,4.514435,J2048.1-1750,                    ,34,0.5022351898336838,-0.5858034696755732
60,100,PSZ2 G028.89+60.13,225.0904835,21.3594324,0.153,4.542624,J1500.3+2121,RMJ150019.5+212209.9,3,0.5042694420039961,1.0495763865584034
61,101,PSZ2 G029.06+44.55,240.58675330000003,16.091271799999998,0.0353,3.5270349999999997,J1602.3+1601,                    ,2,0.5073182535008602,0.7776253598365084
62,108,PSZ2 G030.90+34.37,250.84410490000002,13.385334799999999,0.1819,3.7135269999999996,            ,RMJ164325.4+132235.9,2,0.5394581765884602,0.5999086023038299
63,111,PSZ2 G031.93+78.71,205.47093030000002,26.368440600000003,0.0724,2.718318,J1341.8+2622,RMJ134149.1+262224.5,3,0.5573713364923051,1.3738748402235896
64,117,PSZ2 G033.46-48.43,328.08144289999996,-19.612919199999997,0.0943,4.076925,J2152.4-1933,                    ,34,0.5840542403952794,-0.8452758900602515
65,118,PSZ2 G033.81+77.18,207.2220525,26.594595299999998,0.0622,4.465212999999999,J1348.8+2635,RMJ134853.3+263613.4,3,0.5902318796010845,1.3470969323695594
66,120,PSZ2 G033.97-76.61,357.9273591,-26.095302899999997,0.2264,7.557539,J2351.6-2605,                    ,32,0.5929149403872253,-1.3372323623097662
67,121,PSZ2 G034.38+51.57,234.85930319999997,21.7896687,0.0411,1.928021,J1539.6+2147,RMJ153956.8+214927.2,3,0.6000528876131134,0.9001153544775348
68,122,PSZ2 G034.78+31.71,254.69025040000002,15.319842300000001,0.48,6.264101999999999,            ,                    ,2,0.6071392611802163,0.5535236694517135
69,127,PSZ2 G036.73+14.93,271.1293648,10.055297,0.1525,5.288359,J1804.4+1002,                    ,0,0.6411738768193859,0.260714695265793
70,130,PSZ2 G037.05-70.55,351.5252236,-24.120654100000003,0.08800000000000001,2.216287,J2326.2-2406,                    ,32,0.6467745885817506,-1.231413080303268
71,133,PSZ2 G037.48+71.52,213.6348242,27.055502,0.480965,7.058753,            ,RMJ141438.9+270311.1,3,0.6541709629462772,1.2483514111110425
72,135,PSZ2 G037.69-46.87,327.6175442,-16.3991623,0.263,5.1732,            ,                    ,34,0.65786624396856,-0.8181711968437407
73,136,PSZ2 G038.68+24.50,262.9725511,15.6778473,0.0836,2.475157,            ,                    ,0,0.6751201434493149,0.4276123520629975
74,137,PSZ2 G038.95-46.90,327.9887435,-15.613351999999999,0.0614,1.956114,J2151.8-1543,                    ,34,0.6798983515491588,-0.8185941941705571
75,138,PSZ2 G039.21-75.96,357.46531919999995,-24.7552547,0.24350100000000002,3.8967300000000002,            ,                    ,32,0.6844595328469597,-1.3258327131534242
76,139,PSZ2 G039.32-59.88,340.7698037,-20.1640435,0.1359,3.19194,J2243.0-2009,                    ,32,0.6863059629464796,-1.045113659233685
77,140,PSZ2 G039.34+73.28,211.693221,27.729940399999997,0.566447,5.691223,            ,RMJ140649.4+274556.8,3,0.6866767579073143,1.279133009754933
78,141,PSZ2 G039.85-39.96,321.7514441,-12.1616651,0.17600000000000002,5.91514,J2127.1-1209,                    ,34,0.6955828938965147,-0.6975008956019993
79,143,PSZ2 G039.98-53.12,334.2369494,-17.4076141,0.1301,3.4765309999999996,J2216.9-1725,                    ,32,0.6978479081127211,-0.9271212363521386
80,144,PSZ2 G040.03+74.95,209.8162599,27.965073999999998,0.0612,2.570666,J1359.2+2758,RMJ135915.1+275834.5,3,0.6987986197348506,1.3081993214037975
81,146,PSZ2 G040.28+37.36,250.79793480000004,21.5437922,0.1535,3.1695729999999998,J1643.3+2131,RMJ164319.2+213121.4,2,0.7030470490327043,0.6521161016580094
82,147,PSZ2 G040.58+77.12,207.3621979,28.0946094,0.0748,2.626682,J1349.3+2806,RMJ134931.6+280001.6,3,0.7083318559472958,1.3460041597295707
83,148,PSZ2 G041.43-66.81,348.10844219999996,-21.5507349,0.1108,2.7097439999999997,J2312.3-2130,                    ,32,0.7232105761049206,-1.1661022612988796
84,149,PSZ2 G041.45+29.10,259.4664801,19.6925477,0.17800000000000002,5.587061,J1717.8+1940,                    ,0,0.7234675240554991,0.5079017037594225
85,150,PSZ2 G041.69+21.68,266.80496239999997,17.130921700000002,0.479,5.828983999999999,            ,                    ,0,0.7277987643109298,0.37849348370821084
86,151,PSZ2 G042.19+63.00,223.3831236,28.121746899999998,0.256841,4.272891,            ,RMJ145332.1+280358.0,3,0.7364712243294315,1.0997076618864214
87,152,PSZ2 G042.32+17.48,271.06985330000003,15.997300199999998,0.45799999999999996,7.0290550000000005,            ,                    ,0,0.7387638149583768,0.3051800839129945
88,153,PSZ2 G042.53+35.20,253.6242588,22.5908722,0.1811,3.430715,            ,                    ,0,0.7423290758727736,0.6144151835599704
89,155,PSZ2 G042.81+56.61,230.61707059999998,27.69472,0.0723,4.081119999999999,J1522.4+2742,RMJ152224.0+274251.7,3,0.7472056413377635,0.9880323597462572
90,156,PSZ2 G042.81-82.97,5.1724744000000005,-25.7138057,0.141,4.259752,J0020.7-2542,                    ,32,0.7472284735003271,-1.4481591613540896
