index,NAME,RA,DEC,LAMBDA,Z_SPEC,pix
279,RMJ153656.3+242431.6,234.23438564985105,24.40877804238144,68.575325,0.22627702,3
280,RMJ150615.8+101208.0,226.56583625331672,10.202225463603794,53.35086,0.16984983,2
281,RMJ021006.5-010156.4,32.52690676858998,-1.0323450173276851,54.66279,0.17166336,37
282,RMJ135200.2+125303.6,208.0008071781723,12.884325854791332,99.680214,0.40165624,15
283,RMJ132328.7+170630.8,200.8697468578709,17.10856838774857,64.62428,0.29671052,15
284,RMJ101931.4+080352.8,154.8807270925151,8.064670634568431,51.627045,0.16236095,9
285,RMJ021830.6-002546.8,34.6274823986822,-0.4296599854623253,69.292305,0.29071835,37
286,RMJ132022.5+050952.9,200.0937621351916,5.164687540092084,58.140923,0.2701017000000001,15
287,RMJ132421.4+041918.5,201.08919683617592,4.32180394207999,71.64157,0.2604495,15
288,RMJ094250.9+031916.9,145.7120480260817,3.321358859817384,69.170265,0.28189699999999995,9
289,RMJ164140.6+220054.2,250.41909898203858,22.01506618185168,53.32035,0.15314145,2
290,RMJ115605.4+343304.2,179.02252585721237,34.551166021077634,64.12087,0.2535594,7
291,RMJ121411.6+255403.9,183.54840661774608,25.901078555919717,64.25816,0.28060257,11
292,RMJ150435.5+280121.0,226.14772045219024,28.02248939071108,86.34737,0.42304823,3
293,RMJ093546.1+080736.8,143.94200030110633,8.126898806591429,74.14339,0.37682265,8
294,RMJ080105.4+344941.0,120.27261640077595,34.82805647775057,53.13729,0.16133575,27
295,RMJ145838.9+275104.5,224.66228673706883,27.85125124407957,54.20514,0.12626925,3
296,RMJ140016.9+043836.0,210.0702910869296,4.643334074338721,52.176224,0.15701646,15
297,RMJ113355.9+170439.2,173.48278720610782,17.07756672162231,50.879555,0.15583442,11
298,RMJ144130.4+382142.5,220.3765232232077,38.361806459915854,74.05185999999998,0.35817236,3
299,RMJ003456.1-030151.7,8.733703901110133,-3.031040648639692,113.51648,0.4693028,36
300,RMJ015428.4-080049.8,28.618443434131237,-8.013828849310519,84.19641999999997,0.37290442,36
301,RMJ145130.3+223755.6,222.87624239254902,22.632119739493,44.62501500000001,0.117358685,3
302,RMJ170146.2+350241.4,255.44263682634792,35.04482852554253,40.445152,0.10654684,1
303,RMJ082819.7+372152.7,127.0821215084406,37.364631037215574,104.19569,0.3886049,27
304,RMJ000611.5-102819.5,1.5481057745566318,-10.472086898603132,58.201942,0.2201838,32
305,RMJ102150.2+140720.2,155.45918031274638,14.122287318707265,65.63110999999999,0.24596873,11
306,RMJ114406.8+054753.5,176.0284116013671,5.798184995152543,52.221992,0.10279919,9
307,RMJ154430.5+295401.4,236.1271734307706,29.900375512477908,62.580116,0.35163966,3
308,RMJ112042.2+534732.9,170.17562938781646,53.79247763620185,45.845413,0.10136699,7
309,RMJ074358.7+144551.2,115.99439142657087,14.764234817222912,47.233612,0.13401197,8
310,RMJ093645.4+123018.2,144.18920314876857,12.5050686715389,85.40156,0.31043792,10
311,RMJ172029.4+285233.3,260.1226841928042,28.875919425171407,72.4806,0.2895913,0
312,RMJ142624.3-012657.2,216.6010505073792,-1.4492084524936852,118.4896,0.45761886,13
313,RMJ095328.6+224944.4,148.36916747017085,22.829003118166074,57.179855,0.19572157,10
314,RMJ133119.8+183544.2,202.8325819917184,18.59560448645473,68.01089,0.31101078,15
315,RMJ140554.3+093527.4,211.47634653709642,9.590955956581126,75.8672,0.3903991,15
316,RMJ104019.7+340519.8,160.08215286979453,34.08883111099497,99.466644,0.44466323,10
317,RMJ102831.8+151511.7,157.13229975603784,15.253246538260814,67.24814,0.30457768,11
318,RMJ154744.1+334510.2,236.93380550115586,33.75284310454564,84.4405,0.40080634,3
319,RMJ093723.8+125312.3,144.34937023228883,12.886750417817582,55.13569,0.18009448,10
320,RMJ021007.5+025426.6,32.53130921451549,2.907393659637034,50.513435,0.15164095,37
