,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
269,RMJ112815.4+254922.6,172.0640233069248,25.82293531702648,0.35227656,106.36189,0.9974116,0.33992344,0.0,24.893959,20.255405,18.49721,17.856422,17.47496,73.43793
271,RMJ143740.3+301200.3,219.41789823267607,30.200079209686482,0.33775833,97.60554,1.0063996,0.33983114,0.0,21.317774,19.622911,17.786594,17.172895,16.809221,81.2636
274,RMJ121106.6+284743.2,182.77737163411422,28.795322389121328,0.38226765,105.40083,1.0832537,0.39730233,0.0,22.290878,20.16538,18.39567,17.735891,17.357634,66.083015
275,RMJ143321.8+292701.3,218.3409807782051,29.45037440805153,0.22457683,80.764046,0.9967571,0.22082463,0.0,20.404324,18.232195,16.843079,16.342052,16.014505,56.42582
276,RMJ110455.5+472515.6,166.23145049284113,47.42101288520093,0.2152495,73.13656,0.9978305,0.21877946,0.0,20.800987,18.535248,17.173225,16.673111,16.302525,49.395897
279,RMJ140240.4+174522.8,210.66822871550488,17.75632211513427,0.18777816,62.686905,1.0220712,0.19133049,0.0,19.510891,17.624165,16.359991,15.908107,15.55032,45.504
283,RMJ081751.8+302109.2,124.46590519836832,30.352550087324556,0.40290403,119.96933,1.1748861,0.4094326,0.0,21.73802,20.384735,18.63284,17.95193,17.664606,77.86367
284,RMJ124150.3+194655.9,190.45976022697252,19.782202782584875,0.2769047,91.976456,1.0054497,0.28660524,0.0,21.30568,18.960854,17.305529,16.725664,16.399332,61.677822
286,RMJ163509.2+152951.5,248.78848636394582,15.497636327531435,0.47146276,143.08061,1.6991247,0.47448984,0.0,23.387695,21.252724,19.41095,18.574865,18.124249,78.228905
288,RMJ144032.0-013727.1,220.13341330676081,-1.62418757631147,0.33192262,88.83393,0.998117,0.32227212,0.0,24.200796,20.426962,18.715416,18.073114,17.761385,54.647156
291,RMJ112951.5+025616.7,172.46469947626252,2.9379726523747722,0.2382387,84.97442,1.046327,0.22713777,0.0,20.876505,19.124317,17.769478,17.21793,16.957605,66.31765
295,RMJ004511.7+084111.0,11.298848605027956,8.686376099296877,0.2968764,96.58346,0.9990044,0.29164845,0.0,21.135365,18.944324,17.282358,16.695618,16.382887,72.753296
297,RMJ112659.2+234420.3,171.74673846399438,23.738971858798187,0.3038047,92.11375,0.9967524,0.30025145,0.0,21.883137,19.838432,18.141645,17.56176,17.186104,62.98996
298,RMJ142334.3+162840.1,215.89285895602228,16.477798457779667,0.23425509,73.41115,0.9994534,0.23599586,0.0,21.694944,19.396421,17.974413,17.48497,17.119772,52.94365
299,RMJ094724.2+380845.9,146.85085849298787,38.14607394439294,0.4602596,137.69562,1.394293,0.45155537,0.0,23.301353,21.495157,19.698824,18.834255,18.547663,82.665886
300,RMJ091821.4+611029.6,139.5892214503993,61.174897211194086,0.28188804,83.11331,0.99329096,0.2794803,0.0,20.905647,18.512825,16.926702,16.363525,16.030277,66.43041
