,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
12336,12336,RMJ222344.2+053356.1,335.9340938473867,5.565572105957089,76.26383,-1.0
12337,12337,RMJ115424.2+625447.1,178.60068229161556,62.91307661994057,32.115936,0.37882614
12344,12344,RMJ090954.0+273248.2,137.47483744244096,27.546729573272405,41.61978,-1.0
12347,12347,RMJ221127.6+265617.8,332.86518778777236,26.93828266343192,31.688795000000002,-1.0
12348,12348,RMJ160808.8+053706.5,242.03686590177966,5.618481153337535,39.865463,0.36300838
12349,12349,RMJ140632.7+394546.2,211.6363163286203,39.76284476089546,36.55513,0.42732
12352,12352,RMJ012045.4-051416.6,20.189232983967468,-5.2379555900022625,40.84178,-1.0
12353,12353,RMJ161137.6+071947.2,242.9066507934947,7.329773902696386,32.848175,0.33478534
12354,12354,RMJ013242.5+132135.7,23.17709974097227,13.359906726773096,52.466072,-1.0
12356,12356,RMJ092332.5+065250.2,140.8852470437869,6.880614098722264,72.38906999999999,-1.0
12357,12357,RMJ111327.1+553402.1,168.36279417010047,55.56726038229075,42.382529999999996,-1.0
12358,12358,RMJ231250.9+052000.4,348.2120541801558,5.333444698609901,40.262093,0.40570766
12360,12360,RMJ083016.6+093325.8,127.5690081889002,9.55715671324094,34.190613,-1.0
12363,12363,RMJ081210.8+322634.9,123.04502221654332,32.44302242759528,67.81258000000001,0.49233097
12364,12364,RMJ090735.9+423601.7,136.8994332865347,42.600481920005656,53.56443,0.4787999
12365,12365,RMJ023434.9-010828.5,38.64549338434614,-1.1412556815165558,55.227219999999996,0.5328626000000001
12366,12366,RMJ122154.7+091019.9,185.47789421382018,9.172201418845518,49.765938,0.5404329999999999
12368,12368,RMJ155826.8+404757.9,239.6116838324768,40.79941429172377,30.285337,0.3667965
12372,12372,RMJ154757.8-015819.4,236.99102400065368,-1.9720554422605632,35.731359999999995,-1.0
12374,12374,RMJ011910.1+265412.2,19.79204043223058,26.90339441899634,52.71015,-1.0
12378,12378,RMJ163027.6+440018.9,247.61506242425884,44.00523669551678,59.43759,0.5296695
12379,12379,RMJ010532.3+030456.5,16.384772878680902,3.0823690255686893,39.423065,0.44722843
12380,12380,RMJ005344.2+090753.4,13.4339898937788,9.131493519753231,42.58085,-1.0
12384,12384,RMJ115648.9+012519.1,179.2038013118877,1.4219649566607309,45.555565,0.5685271
12385,12385,RMJ130959.4+262931.7,197.49754473561748,26.49214226840708,50.742256,-1.0
12386,12386,RMJ113524.9+330330.5,173.85360193554038,33.058481270359614,59.208769999999994,0.52084666
12387,12387,RMJ140638.6+012214.5,211.66085954369962,1.3706891364290548,30.010748,0.37504554
12388,12388,RMJ132607.3+285043.9,201.53024629908955,28.84552724058845,59.590140000000005,-1.0
12389,12389,RMJ090814.4+131741.9,137.05991643058772,13.294959041797716,50.849045000000004,-1.0
12390,12390,RMJ085706.8+280823.3,134.27845459983746,28.139799995889092,32.070168,0.33458737
12394,12394,RMJ002800.9-054144.6,7.003710123062575,-5.695711823867327,36.417840000000005,-1.0
12397,12397,RMJ231608.8+173910.7,349.0365600312585,17.652967898895387,33.916022999999996,-1.0
12399,12399,RMJ090420.4+370216.9,136.08504870690885,37.03802692316777,50.269356,0.49672740000000004
12400,12400,RMJ085227.1+220303.6,133.11308702212295,22.05100474146433,42.4283,0.4750271
12404,12404,RMJ171345.1+271616.1,258.4379713962365,27.271132801080945,31.154871000000004,0.32554138
12406,12406,RMJ005017.4+322922.3,12.572519352783731,32.489536625291855,37.40941,-1.0
12407,12407,RMJ104416.4+274739.8,161.0681979271033,27.794380361324997,35.62458,-1.0
12411,12411,RMJ170836.5+281036.1,257.15209918852884,28.17669983477201,32.634605,-1.0
12413,12413,RMJ090002.6+223410.5,135.01089117534696,22.569578787775622,57.134094,0.48371497
12414,12414,RMJ222601.8-071044.2,336.5075655507077,-7.1789449604241895,47.279379999999996,-1.0
12417,12417,RMJ101531.1+301012.8,153.87978951805945,30.170221427407235,44.304657,-1.0
12420,12420,RMJ161752.0+184148.0,244.4667487036976,18.69665910131238,44.350426,0.48629629999999996
12421,12421,RMJ223724.3+051453.4,339.3510452865607,5.2481662168665135,54.29667,0.36945254
12423,12423,RMJ233156.0+220750.1,352.98332418619935,22.13059002811356,32.909195000000004,-1.0
12424,12424,RMJ153024.9+564038.7,232.60360696004082,56.67740748123918,51.047356,-1.0
12426,12426,RMJ134706.2+293129.9,206.77586883004886,29.52496041088811,65.08193,-1.0
12430,12430,RMJ003202.7+130357.8,8.011445529236994,13.066068082255738,36.6009,-1.0
12434,12434,RMJ215619.0-033554.1,329.07937457897594,-3.5983701969266955,71.27545,-1.0
12435,12435,RMJ144023.6-003643.6,220.09817686677502,-0.6121077488965793,62.763176,0.5337009
12437,12437,RMJ085658.1-001456.9,134.24227214885306,-0.24912600615644165,32.756645,-1.0
