,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
10611,15275,RMJ012127.8+214403.7,20.36590484315343,21.734359273158283,0.5851390999999999,79.07075,3.1428034,-1.0,0.0,26.857459999999996,22.255215,19.648867000000003,18.468187,17.96184,46.813435
10624,15297,RMJ014435.6+005743.7,26.148485535977546,0.9621341788489748,0.5370891999999999,54.128859999999996,2.3025556000000003,0.54122686,0.0,23.528107000000002,20.599798,19.317992999999998,18.430220000000002,17.963814000000003,34.273907
10626,15299,RMJ114850.2+365521.9,177.20924629939884,36.92274056434264,0.5180465999999999,56.035736,2.0681672,-1.0,0.0,22.4527,21.392113000000002,20.046148000000002,19.376739999999998,18.976236,23.100855
10633,15315,RMJ110229.2+301903.9,165.6218393543386,30.31776263211457,0.5893776,73.12131,3.1538958999999998,-1.0,0.0,25.149826,23.323764999999998,20.749976999999998,19.748316,19.225057999999997,33.006565
10634,15316,RMJ212642.8-002139.2,321.67841251935573,-0.36089252974978253,0.52389437,52.786423,2.0813305,-1.0,0.0,25.292816000000002,22.9592,20.925133,19.97474,19.514855999999998,27.676569
10637,15322,RMJ232306.6-051758.6,350.77746147260314,-5.299622411536001,0.52987367,65.1277,2.5312152,-1.0,0.0,22.051285,21.123697,19.77316,18.739023,18.390435999999998,30.903025
10642,15333,RMJ092214.4+013436.9,140.55980918377352,1.5769187797105992,0.59529316,71.30596,3.4228407999999995,-1.0,0.0,22.511412,22.562977,20.977411,20.043552,19.555038,27.795115000000003
10650,15357,RMJ001143.3+183305.5,2.9303804024627884,18.551539351641505,0.49415770000000003,56.157776,2.0101366,-1.0,0.0,22.152863,22.061071,20.141153,19.338993,18.83432,27.316343
10651,15358,RMJ134240.4+005222.3,205.66851129114028,0.8728736738658393,0.5358764,62.000427,2.3866909,0.5160813,0.0,24.093859,21.125826,19.56447,18.579313,18.218273,32.146285999999996
10655,15371,RMJ232334.5+281616.8,350.8938259158838,28.271323600027237,0.48820034,61.588547,2.0990653,-1.0,0.0,22.378914,21.697826,19.936298,19.049997,18.583374,29.038338
10662,15380,RMJ161654.1+601802.9,244.22556092570943,60.300792589390994,0.53494525,63.754753,2.8696566000000003,-1.0,0.0,24.065306,21.908398000000002,20.38622,19.399569,19.045510999999998,26.660908000000003
10669,15392,RMJ115836.1+343000.3,179.65049131708636,34.50008400709981,0.5823851999999999,66.66845,2.7229,-1.0,0.0,22.786179999999998,22.041334,21.107951999999997,20.269072,19.817154000000002,34.231346
10674,15401,RMJ122858.9+184139.4,187.2454067326884,18.694267726654363,0.5373079000000001,60.84105,2.3407161,-1.0,0.0,25.893042,22.712479000000002,20.466454000000002,19.464144,19.01185,33.44192
10679,15412,RMJ125555.4+030918.4,193.9807363663396,3.1551199874371916,0.53136486,56.98154399999999,2.5427713,-1.0,0.0,22.60124,21.665936,20.140432,19.249182,18.828463,26.969526000000002
10682,15420,RMJ151209.5+201819.9,228.03968110208584,20.305524394739138,0.5418375,65.7379,2.4600582,-1.0,0.0,23.17811,22.745983,20.673376,19.667591,19.329588,35.2454
10687,15428,RMJ141557.5+140547.6,213.98938977395733,14.09654993007631,0.5474689,69.810974,2.358652,0.49221787,0.0,23.38891,22.4529,20.442917,19.547594,18.924038,33.313625
10693,15436,RMJ123230.2+031038.2,188.12584926965081,3.177289424109821,0.52128327,65.55484,2.3719392000000004,-1.0,0.0,22.929018,20.798468,19.23801,18.323,17.843224,31.839527
10699,15450,RMJ111546.6+061629.6,168.9441819211329,6.274893282643053,0.51246196,56.432365000000004,2.1657912999999995,0.56113166,0.0,22.267328,21.281437,19.452270000000002,18.39389,17.997887,29.459396
10704,15458,RMJ155355.3+105448.4,238.48042174732743,10.913435451724991,0.49233314,54.58651,2.0649245,0.47751746,0.0,22.501385,21.512735,19.76128,18.925106,18.409412,27.849696999999995
10707,15464,RMJ145051.0+580620.4,222.7125681003857,58.105675143083715,0.55705476,60.39866,2.7077756,-1.0,0.0,22.746428,21.832483,19.998728,19.230176999999998,18.451103,28.217043
10710,15471,RMJ233310.7+245839.2,353.2944850810515,24.977564574167825,0.5052466,61.710587,2.0998797000000002,-1.0,0.0,22.277008,21.364342,19.354960000000002,18.395164,17.92105,36.570656
10716,15485,RMJ222301.1-041950.1,335.7547790271563,-4.330574501916808,0.5159103,60.627480000000006,2.3272312000000004,-1.0,0.0,25.736086,23.584529999999997,19.829262,19.060858,20.847067000000003,26.72308
10727,15504,RMJ162418.7+210408.1,246.0777761541948,21.06891828142052,0.49734570000000006,53.62545,1.79415,0.49460348,0.0,23.396843,21.480439999999998,19.682339000000002,18.715506,18.345491,35.81411
10730,15508,RMJ132815.5+364842.3,202.06469920628987,36.811737063673355,0.5484526,54.876357999999996,2.457375,-1.0,0.0,22.693369,21.416288,19.686295,18.625837,18.141558,31.135403000000004
10736,15518,RMJ141211.7+070136.8,213.04886703160537,7.0268931129424095,0.55349153,60.124069999999996,2.4451826,-1.0,0.0,23.263018,21.92127,19.797954999999998,18.760303,18.119814,30.163458000000002
10742,15529,RMJ120611.1+182939.3,181.54616564976712,18.49424522675991,0.515097,57.606995,2.271678,0.53145975,0.0,25.753695,21.471970000000002,19.515532,18.542332000000002,18.104372,34.156643
10746,15533,RMJ021550.3+310634.0,33.959631335928286,31.109457458692514,0.44534063,51.962654,1.7160702,-1.0,0.0,20.965301999999998,19.797420000000002,19.5008,17.437435,17.662628,29.630112
10747,15536,RMJ235025.2+013145.0,357.6051955262675,1.5291749058679458,0.51393235,57.149345,1.9857688000000002,-1.0,0.0,21.574285999999997,21.681223000000003,19.940367000000002,18.950295999999998,18.434237,31.396399
