,0
0,0.01970169228141325
1,0.4947485609586482
2,0.7558699772985623
3,0.4953938921389454
4,0.7795081387949867
5,0.9763265347719273
6,0.9357152338817781
7,0.7017044451769583
8,0.6905255407664583
9,0.5858805040904344
10,0.3411251550861306
11,0.7742680405605481
12,0.985009792108666
13,0.7950185140269859
14,0.008838582252344619
15,0.7184828060993201
16,0.5208303624510259
17,0.9342509927101872
18,0.8486127934256754
19,0.6045763435284989
20,0.9474209691992582
21,0.8786098100744572
22,0.00574158664409495
23,0.09462792226482131
24,0.5859921114557228
25,0.6006305910013023
26,0.8929363546547735
27,0.22505248926770377
28,0.6033723481631154
29,0.005306553910529405
30,0.8922020008419749
31,0.19237560457956382
32,0.8157398512853976
33,0.5255081094237626
34,0.31822114706561255
35,0.1926614196621521
36,0.5141848505426019
37,0.617922506423944
38,0.9086636435886373
39,0.29811390408772737
40,0.8226472049371777
41,0.8998003095051489
42,0.5748738031472893
43,0.9776071274021706
44,0.25205843906477815
45,0.7657655654091737
46,0.009977210041872665
47,0.5993549494985441
48,0.9280966643429699
49,0.7427212718875591
50,0.4578041245281946
51,0.6056887838385608
52,0.7737690093658028
53,0.5001017534822041
54,0.5262677495402753
55,0.5606077445349178
56,0.7710032870735146
57,0.5820291006349302
58,0.0073546676458140225
59,0.3318869438675519
60,0.34432379228285676
61,0.8014440366421581
62,0.6616541605711487
63,0.6552808418565761
64,0.8169428621915813
65,0.003327542052178264
66,0.6451967192187805
67,0.6935385414750398
68,0.8468022169786803
69,0.7978123131147312
70,0.7985465137729627
71,0.7763315220050799
72,0.7402078647416772
73,0.9545438987865063
74,0.7734500020603089
75,0.6241251236137968
76,0.8584331649369752
77,0.36898300609370605
78,0.5439745684021225
79,0.6887950363169951
80,0.7709849174653214
81,0.6364632276420505
82,0.06888471079213385
83,0.9326756842587963
84,0.8232069480346318
85,0.9234327809819183
86,0.8214901108193734
87,0.46519044057993536
88,0.5765897509140093
89,0.2885214396421718
90,0.5965905849166282
91,0.1967647955555765
92,0.5476124029907943
93,0.5718010392627906
94,0.4477528579514587
95,0.4896282822749689
96,0.1205075239347983
97,0.3802339843785406
98,0.6580473926111529
99,0.9596257516291893
100,0.8863744261756366
101,0.9244945416277638
102,0.9887759079792401
103,0.8266268752121387
104,0.586277290297328
105,0.9272565235630204
106,0.06936869714789685
107,0.3877709598925365
108,0.6695967901875278
109,0.6874511002549131
110,0.5194627971793165
111,0.5656978333107998
112,0.22357901414143622
113,0.5425186937548245
114,0.6251708545349767
115,0.2608618522963648
116,0.4044974397144238
117,0.2472845560235783
118,0.2630513933200202
119,0.4301278311469341
120,0.0010471298678902806
121,0.8591449714139328
122,0.8413970729341647
123,0.6181565836698435
124,0.013832605866194211
125,0.4036894087261593
126,0.6596756124602084
127,0.9894503635731869
128,0.14412282590751235
129,0.9027964357936773
130,0.7523578348630172
131,0.02632215741298469
132,0.18360388448394038
133,0.9410728117106046
134,0.8778028009686545
135,0.8343259130591106
136,0.7750167988880717
137,0.38002698424495446
138,0.45908230604527117
139,0.9670720473984106
140,0.9666915421475745
141,0.4051527197908234
142,0.3156047027852925
143,0.6320347863871686
144,0.8495962477545703
145,0.8472165990665202
146,0.6703521654072526
147,0.02045680954953589
148,0.6573913868337531
149,0.219300204419783
150,0.6456129157318681
151,0.002997743432328355
152,0.7555973762261017
153,0.6807421110683552
154,0.8000971240329944
155,0.9831814623127674
156,0.8740457294152363
157,0.4894458227870175
158,0.33128171648997135
159,0.5739400468352422
160,0.8792805737558019
161,0.9538208027154526
162,0.7351324281330721
163,0.9274161172896752
164,0.46431113108850874
165,0.710050974570279
166,0.00357137424740231
167,0.8131505965926961
168,0.7960576888558781
169,0.2125703553724631
170,0.8161761900564868
171,0.1765287065720745
172,0.9325993590626619
173,0.7577159443801142
174,0.9114308416802404
175,0.5411193249469584
176,0.3068637563786653
177,0.4226921936706181
178,0.022590110728868636
179,0.23860455811514486
180,0.633330167579443
181,0.1800011352046499
182,0.9735493249686871
183,0.5226812698867861
184,0.40973127123433606
185,0.27216663141628944
186,0.5679492756436746
187,0.6146395201844145
188,0.32425333658317196
189,0.9023661271054659
190,0.9145860818747675
191,0.693960135919068
192,0.5414567228070045
193,0.13551487138140625
194,0.6137626377601932
195,0.9783882681751209
196,0.8343768132196504
197,0.7953536870157878
198,0.7906552074532582
199,0.8575023039473857
200,0.55020258471049
201,0.8439416582258473
202,0.2983193530777853
203,0.9892454984089706
204,0.944178007501352
205,0.8976966463209507
206,0.9490650230264857
207,0.6989022828559969
208,0.5526297706201745
209,0.5834623081959502
210,0.10493258462336731
211,0.7876954014489833
212,0.8476068036096485
213,0.8276773432739587
214,0.9356182383226919
215,0.5409794586228062
216,0.011324369491061331
217,0.27072629778339025
218,0.9329799434023377
219,0.9907100973549197
220,0.6919343880866475
221,0.654563307492434
222,0.5992314534293294
223,0.7754217793989628
224,0.988549563067761
225,0.12238038158105577
226,0.656113315070116
227,0.6356807177091148
228,0.7735911477521377
229,0.7685923989093967
230,0.8103177813311463
231,0.9092346053173368
232,0.8554977272154697
233,0.446362235747473
234,0.3961257175614471
235,0.002177305461980838
236,0.8448874598717483
237,0.5705904686791192
238,0.8850118121514557
239,0.9720203747565496
240,0.5281557121567529
241,0.6723258121174593
242,0.9985539284580446
243,0.09911376927292274
244,0.6692371055470054
245,0.7674951965063279
246,0.1934261017806775
247,0.17502179867387735
248,0.7311423068076285
249,0.9827766031129861
250,0.8081568738573447
251,0.8905726482180379
252,0.8949555191051214
253,0.6356206099581805
254,0.56848914143656
255,0.9025944945839486
256,0.14401082433784493
257,0.7696580593738956
258,0.8789198436324389
259,0.084139280478874
260,0.9542996581792061
261,0.188135029561545
262,0.6555246220865373
263,0.7091105297905809
264,0.7782352598887644
265,0.5915657950122621
266,0.3103146073593265
267,0.8409959556516057
268,0.5462522024849648
269,0.856583255139244
270,0.9441326399116909
271,0.5854425771242
272,0.21525295459584276
273,0.35387234649592053
274,0.7943579831863532
275,0.4311777347420714
276,0.007414049818601252
277,0.4155837656257264
278,0.23342390051037773
279,0.5454198209914376
280,0.7665582597153735
281,0.28565137323390427
282,0.48186902465158477
283,0.8685233245851822
284,0.3823214243074953
285,0.5483836114312214
286,0.557118682094814
287,0.9902134757437273
288,0.5018745928931001
289,0.4144837628837324
290,0.38468335838720336
291,0.8803860916891982
292,0.41889225609245495
293,0.652191740091619
294,0.8607875548975756
295,0.6703443626002252
296,0.6064844995536648
297,0.6903642349823144
298,0.5234840473755824
299,0.6072441159867893
300,0.6879916679985348
301,0.9163560785999397
302,0.4991285865437217
303,0.898395398234767
304,0.7588515638089149
305,0.7527468453594898
306,0.656986527379252
307,0.5259224185508634
308,0.9040427696462557
309,0.7651822078505923
310,0.25888265664156174
311,0.865667173019603
312,0.6864414755118124
313,0.8478252706662194
314,0.3994743405885195
315,0.04825597549653967
316,0.762553476150704
317,0.671768190969479
318,0.8887831673505265
319,0.9445194960929117
320,0.8787627716452205
321,0.8525262705932004
322,0.8601420730301138
323,0.5439534445778318
324,0.5378004221286613
325,0.7187629492025666
326,0.9763862839196614
327,0.30314665070815705
328,0.8130584922527857
329,0.8637167860578512
330,0.512592194698852
331,0.28730833443156084
332,0.20033222524705427
333,0.960409972607189
334,0.22631580331866433
335,0.9664840750478174
336,0.3325785669880491
337,0.2597601842364175
338,0.37516742559045885
339,0.5659527454846749
340,0.7018246495815721
341,0.7039860058827679
342,0.5597470880604383
343,0.8147664902699646
344,0.7345776968990835
345,0.3896414125124181
346,0.003951538409208629
347,0.9179262797392004
348,0.3816726851228634
349,0.4308196511672398
350,0.8340105020385268
351,0.9485483101707572
352,0.010837098154092839
353,0.5568401551484172
354,0.966495326619308
355,0.500358646436473
356,0.361818511208074
357,0.05186435425897746
358,0.9537013159005991
359,0.718986936250624
360,0.0056261215866191296
361,0.5987687732752766
362,0.9151530184464032
363,0.8428006761461323
364,0.5384990429904778
365,0.03575170131687556
366,0.3282498596797281
367,0.702572309139768
368,0.6794227532324336
369,0.4764470819322436
370,0.852850282199661
371,0.7540733445115773
372,0.22557669415281373
373,0.7314152023753305
374,0.7732374992024252
375,0.7690146350413309
376,0.7989562564535371
377,0.8600593244439447
378,0.48233967563156344
379,0.3575699858550668
380,0.7599892042402357
381,0.9188382811188032
382,0.7692462106290705
383,0.27416110265570204
