,MCXC,OName,AName,RAdeg,z,M500
264,J0322.9-1338,BVH2007 40        ,                                                      ,50.748,0.334,1.6041
265,J0323.9-1916,BVH2007 41        ,                                                      ,50.998,0.332,2.0738
266,J0327.9+0233,BVH2007 42        ,UGC02748                                              ,51.977,0.0302,0.2346
269,J0329.6-0211,MACSJ0329.6-0211  ,MCS  J0329.6-0211                                     ,52.423,0.45,4.4622
272,J0331.9-4524,BVH2007 NS 2      ,                                                      ,52.998,0.0671,0.2155
273,J0332.2-2910,BVH2007 44        ,                                                      ,53.056,0.15,1.0869
274,J0333.0-3913,RX J0333.0-3914   ,                                                      ,53.273,0.245,0.4682
275,J0333.1-2456,BVH2007 45        ,                                                      ,53.292,0.475,2.4442
276,J0334.0-3900,BVH2007 46        ,A3135                                                 ,53.515,0.0623,0.3519
277,J0334.9-5342,RXCJ0334.9-5342   ,APMCC421                                              ,53.734,0.0619,0.9158
279,J0336.3-0347,RXCJ0336.3-0347   ,                                                      ,54.095,0.1595,3.0382
280,J0336.8-2804,BVH2007 47        ,A3141                                                 ,54.206,0.105,1.0571
282,J0337.7-2522,RX J0337.7-2522   ,VMF98 33                                              ,54.437,0.585,1.038
283,J0338.1-2256,BVH2007 48        ,                                                      ,54.549,0.173,0.6947
284,J0338.4-3526,RXCJ0338.4-3526   ,FORNAX                                                ,54.616,0.0051,0.1855
286,J0339.4-3313,BVH2007 49        ,A3150                                                 ,54.851,0.269,1.7212
287,J0340.1-5503,RXCJ0340.1-5503   ,IC 1987                                               ,55.036,0.0464,0.6987
288,J0340.1-1835,RXCJ0340.1-1835   ,NGC1407                                               ,55.048,0.0056,0.0568
289,J0340.4-2840,BVH2007 50        ,A3151                                                 ,55.113,0.068,0.9209
290,J0340.6-0239,RXCJ0340.6-0239   ,                                                      ,55.174,0.0352,0.7946
291,J0340.8-4542,RXCJ0340.8-4542   ,RBS 0459                                              ,55.205,0.0698,1.2015
292,J0340.8-2823,BVH2007 51        ,                                                      ,55.215,0.346,2.1352
293,J0341.2+1524,RXC J0341.2+1524  ,RXJ0341.3+1524                                        ,55.321,0.0311,1.1301
294,J0341.9-4500,RX J0341.9-4500   ,VMF98 34                                              ,55.488,0.408,0.4727
296,J0345.7-4112,RXCJ0345.7-4112   ,S0384                                                 ,56.44,0.0603,1.2699
297,J0345.9-2416,RXCJ0345.9-2416   ,A0458                                                 ,56.484,0.1057,2.397
299,J0347.0-2900,RXCJ0347.0-2900   ,A3165                                                 ,56.751,0.1419,2.8018
300,J0348.1-1201,WARP J0348.1-1201 ,                                                      ,57.036,0.488,1.5331
301,J0348.3-3328,BVH2007 52        ,A3169                                                 ,57.093,0.165,1.9055
302,J0350.7-3801,BVH2007 53        ,                                                      ,57.683,0.363,2.1178
304,J0351.6-3649,RX J0351.6-3649   ,VMF98 35                                              ,57.908,0.372,1.1118
305,J0352.3-5453,RXCJ0352.3-5453   ,RBS 0485                                              ,58.086,0.0447,0.6806
307,J0352.9+1941,RXC J0352.9+1941  ,RXJ0352.9+1941                                        ,58.249,0.1085,3.0843
308,J0354.5-4233,BVH2007 54        ,                                                      ,58.644,0.224,1.0329
310,J0355.4-3634,BVH2007 56        ,"S0400, MS0353.6-3642                                  ",58.875,0.32,4.0532
311,J0355.9-3741,BVH2007 57        ,                                                      ,58.997,0.473,2.7494
313,J0359.1-0320,RXCJ0359.1-0320   ,                                                      ,59.788,0.122,2.1645
315,J0405.4-4100,BVH2007 58        ,                                                      ,61.351,0.686,2.5714
316,J0406.7-7116,MS0407.2-7123     ,                                                      ,61.691,0.229,2.042
320,J0416.7-5525,RX J0416.7-5525   ,                                                      ,64.187,0.365,1.2136
321,J0417.4-4512,BVH2007 59        ,A3240                                                 ,64.357,0.213,1.6298
323,J0419.6+0224,RXCJ0419.6+0224   ,NGC1550                                               ,64.908,0.0131,0.7031
324,J0420.1-3838,MS0418.3-3844     ,                                                      ,65.025,0.35,1.4331
325,J0420.7-3841,MS0419.0-3848     ,                                                      ,65.186,0.225,0.7154
326,J0421.0-4629,BVH2007 60        ,A3247                                                 ,65.265,0.131,0.7635
327,J0422.4-5009,BVH2007 61        ,                                                      ,65.62,0.0901,0.5277
328,J0425.8-0833,RXCJ0425.8-0833   ,RBS 0540                                              ,66.464,0.0397,2.0861
329,J0426.1+1655,RX J0426.1+1655   ,                                                      ,66.531,0.38,2.9084
330,J0428.7-3805,BVH2007 62        ,"VMF98 36, A3259                                       ",67.177,0.154,0.6789
331,J0429.1-5350,RXCJ0429.1-5350   ,S0463                                                 ,67.283,0.04,0.6376
332,J0429.5-0253,MACSJ0429.6-0253  ,MCS  J0429.6-0253                                     ,67.4,0.399,6.0882
335,J0434.2-0831,RX J0434.2-0831   ,VMF98 37                                              ,68.565,0.24,0.6091
336,J0436.7+1003,MS0433.9+0957     ,                                                      ,69.18,0.159,2.9567
337,J0437.1-2027,RXCJ0437.1-2027   ,A0499                                                 ,69.28,0.155,2.7552
341,J0439.0+0520,RXC J0439.0+0520  ,RXJ0439.0+0520                                        ,69.76,0.208,4.6097
342,J0443.1+0210,MS0440.5+0204     ,                                                      ,70.791,0.19,2.8016
343,J0445.1-1551,RXCJ0445.1-1551   ,NGC1650                                               ,71.292,0.036,0.8642
344,J0446.6-0421,BVH2007 63        ,                                                      ,71.658,0.177,1.7279
345,J0448.0+1037,RXC J0448.0+1037  ,                                                      ,72.002,0.094,1.2183
347,J0448.2+0953,RXJ0448.2+0953    ,RXJ0448.2+0953                                        ,72.054,0.154,2.9287
349,J0450.0+4501,RXC J0450.0+4501  ,3C 129.1                                              ,72.515,0.022,1.8897
350,J0451.5-5557,MS0450.6-5602     ,                                                      ,72.899,0.094,0.8073
351,J0451.9+0006,MACSJ0451.9+0006  ,MCS  J0451.9+0006                                     ,72.977,0.43,4.1001
355,J0454.3-0239,RX J0454.3-0239   ,                                                      ,73.582,0.26,1.5539
356,J0454.8-1806,RXCJ0454.8-1806   ,CID 28                                                ,73.71,0.0335,0.6194
357,J0458.9-0029,BVH2007 64        ,NGC1713                                               ,74.73,0.015,0.114
358,J0459.1+0846,RXC J0459.1+0846  ,A0523                                                 ,74.776,0.1034,1.7985
360,J0501.3-0332,RXCJ0501.3-0332   ,A0531                                                 ,75.331,0.0913,1.6462
362,J0503.1+0607,RXC J0503.1+0607  ,RXJ0503.1+0608                                        ,75.78,0.088,1.8817
363,J0505.3-2849,RX J0505.3-2849   ,                                                      ,76.333,0.509,1.542
364,J0505.9-2826,BVH2007 65        ,VMF98 38                                              ,76.493,0.131,0.4435
365,J0506.0-2840,BVH2007 66        ,VMF98 39                                              ,76.517,0.136,0.5651
366,J0506.9+0257,RXC J0506.9+0257  ,                                                      ,76.725,0.1475,1.711
367,J0507.6-0238,RXCJ0507.6-0238   ,A0535                                                 ,76.9,0.1241,2.0866
368,J0507.7-0915,RXCJ0507.7-0915   ,A0536                                                 ,76.94,0.0398,0.7045
369,J0509.7-0836,BVH2007 67        ,                                                      ,77.431,0.125,0.5128
377,J0516.9+2925,RXC J0516.9+2925  ,                                                      ,79.243,0.13,3.0614
379,J0521.1-2530,BVH2007 68        ,VMF98 40                                              ,80.294,0.581,2.4557
381,J0522.2-3624,BVH2007 69        ,VMF98 41                                              ,80.558,0.472,2.1028
382,J0522.7+2806,RXC J0522.7+2806  ,                                                      ,80.699,0.058,1.9868
383,J0524.4+0819,RXC J0524.4+0819  ,                                                      ,81.115,0.068,2.0256
384,J0525.5-3135,RXCJ0525.5-3135   ,A3341                                                 ,81.386,0.038,1.0913
388,J0528.6-3251,BVH2007 70        ,VMF98 42                                              ,82.167,0.273,1.2642
390,J0529.6-5848,RX J0529.6-5848   ,VMF98 43                                              ,82.41,0.466,1.0624
391,J0530.5-5851,RX J0530.5-5852   ,                                                      ,82.63,0.338,0.7031
394,J0532.6-4614,BVH2007 71        ,VMF98 44                                              ,83.174,0.135,0.8644
396,J0533.3-3619,RXCJ0533.3-3619   ,S0535                                                 ,83.327,0.0479,0.7294
397,J0533.8-5746,BVH2007 72        ,VMF98 45                                              ,83.471,0.297,1.2658
398,J0533.9-5809,RX J0533.9-5809   ,VMF98 46                                              ,83.483,0.198,0.556
400,J0539.0-2833,MS0537.1-2834     ,                                                      ,84.768,0.254,0.9111
402,J0540.1-4322,RXCJ0540.1-4322   ,A3360                                                 ,85.042,0.085,1.6874
403,J0542.1-2607,RXCJ0542.1-2607   ,CID 36                                                ,85.539,0.039,0.853
404,J0542.8-4100,BVH2007 73        ,                                                      ,85.712,0.642,2.9996
405,J0543.4-4430,RXCJ0543.4-4430   ,                                                      ,85.852,0.1637,3.2882
406,J0544.2-2555,BVH2007 74        ,                                                      ,86.055,0.26,1.035
407,J0545.4-2556,RXCJ0545.4-2556   ,A0548W                                                ,86.363,0.0424,0.5018
411,J0547.7-4723,RXCJ0547.7-4723   ,S0547                                                 ,86.94,0.0515,0.6695
413,J0548.8-2154,RXCJ0548.8-2154   ,                                                      ,87.21,0.0928,1.6591
415,J0553.4-0558,RXC J0553.4-0558  ,                                                      ,88.363,0.151,3.0695
416,J0557.2-3727,RXCJ0557.2-3727   ,S0555                                                 ,89.305,0.0442,0.9722
417,J0600.8-5835,RXCJ0600.8-5835   ,S0560                                                 ,90.201,0.0369,0.4321
419,J0602.0+5315,RXC J0602.0+5315  ,                                                      ,90.506,0.051,1.1167
420,J0602.1+2309,RXC J0602.1+2309  ,                                                      ,90.531,0.0654,2.5321
421,J0603.8+2939,RXC J0603.8+2939  ,                                                      ,90.957,0.03,0.9853
422,J0604.6+4257,RXC J0604.6+4257  ,                                                      ,91.165,0.118,2.9167
424,J0607.0-4928,RXCJ0607.0-4928   ,A3380                                                 ,91.756,0.0553,0.841
425,J0610.5-4848,BVH2007 75        ,                                                      ,92.633,0.243,1.2692
431,J0621.7-5242,RXCJ0621.7-5242   ,                                                      ,95.432,0.0511,0.9466
432,J0624.6-3720,RXCJ0624.6-3720   ,A3390                                                 ,96.153,0.0333,0.599
433,J0624.7-5240,MS0623.6-5238     ,                                                      ,96.197,0.074,0.6629
434,J0625.2-5521,MS0624.3-5519     ,                                                      ,96.318,0.118,1.336
436,J0627.1-3529,RXCJ0627.1-3529   ,A3392                                                 ,96.784,0.0554,1.6778
439,J0629.1+4606,RXC J0629.1+4606  ,                                                      ,97.291,0.129,2.2924
442,J0632.0+2519,RXC J0632.0+2519  ,                                                      ,98.006,0.075,1.5874
443,J0634.5-6226,BVH2007 76        ,                                                      ,98.642,0.27,1.522
445,J0635.4-6234,BVH2007 77        ,A3398                                                 ,98.868,0.157,1.0108
449,J0640.1-1253,RXC J0640.1-1253  ,                                                      ,100.033,0.135,5.4507
450,J0643.4+4214,RXC J0643.4+4214  ,                                                      ,100.854,0.091,4.1975
453,J0649.3+1801,RXC J0649.3+1801  ,                                                      ,102.345,0.064,2.1684
454,J0657.0+4246,RXC J0657.0+4246  ,                                                      ,104.253,0.125,1.9088
