,NAME,RA,DEC,LAMBDA,Z_SPEC,dist
0,RMJ100214.1+203216.6,150.55890608070382,20.537949366927045,151.36407,0.31961888,1.9426767745330507
1,RMJ004629.3+202804.8,11.622199893045263,20.46801265525455,123.355934,-1.0,1.449680228856764
2,RMJ092030.0+302946.8,140.12508065960202,30.496346634770482,38.690826,-1.0,3.266828278470612
3,RMJ092052.5+302740.3,140.21889165811075,30.461187177126508,128.64941,0.2929025,3.306372362528052
4,RMJ133359.1+201801.3,203.49639690406877,20.300356024954787,26.471594,0.17618003,2.22219594614113
5,RMJ133431.5+201217.7,203.63112096711927,20.20490487002587,73.36539,0.1755066,2.070664746551246
6,RMJ141424.1-002239.5,213.60024185108855,-0.3776437738556696,105.12624,0.1377273,0.24247503853165328
7,RMJ231147.6+034107.6,347.94853803888344,3.6854539314817942,166.20715,-1.0,5.518240575473045
8,RMJ231134.0+033611.0,347.8917423292212,3.6030650951529175,20.033995,-1.0,5.571420365873979
9,RMJ164322.3+132146.8,250.84303523084736,13.36298791364368,111.212975,-1.0,6.852874886872145
10,RMJ123416.1+151508.4,188.56728230785902,15.252336618148355,136.90236,0.2879537,0.1979959730210294
11,RMJ104729.0+151402.1,161.87087891344262,15.233911753538266,127.65784,0.20975201,0.013655389566921623
12,RMJ221840.3-034647.7,334.6680863814606,-3.779925881401176,85.43207,-1.0,0.0009146391190336633
13,RMJ124922.1+494742.1,192.34208293620435,49.79503970710243,129.30537,0.28635317,2.8118615771962663
14,RMJ232214.8+283115.4,350.56149160184816,28.52093384874184,163.93417,-1.0,3.059802414161172
15,RMJ123053.3+344154.4,187.7222296373959,34.698442278187905,22.017141,-1.0,2.739587558854182
16,RMJ155742.4+353029.8,239.42665335143414,35.50827977147044,81.23695,0.15890735,0.010180102378622545
17,RMJ130650.0+463333.4,196.70831678088706,46.55927281084781,122.379616,-1.0,1.8721813331659525
18,RMJ233427.2+065146.0,353.61341183826477,6.862783311139915,137.60408,0.295352,3.5173819899200085
19,RMJ013716.8+075256.1,24.320160126077667,7.882243008341106,100.19888,0.2576128,3.501824321724235
20,RMJ112954.6+202510.4,172.47733653413025,20.419542855322767,91.09167,0.13720247,0.06999525906618813
21,RMJ132703.5+534952.2,201.7647299426317,53.83117773154537,34.83132,-1.0,0.9569704627827726
22,RMJ222602.2+172247.1,336.5092849539111,17.379739277262658,74.280685,-1.0,4.437775332417783
23,RMJ132724.2+534656.5,201.85063858272576,53.78234929625666,120.82361,0.41126522,0.9413927984001101
24,RMJ215021.3-084718.3,327.5889258928229,-8.788427356281481,150.64708,0.39517346,1.7380161711180808
25,RMJ151617.9+000520.6,229.07470893240907,0.08905299063235456,77.88086,0.12067063,0.010394435926239943
26,RMJ152745.8+065233.6,231.94095862197884,6.876006759440544,131.86821,0.3872452,2.327398856683753
27,RMJ021952.2+012952.2,34.96731211051281,1.4978336251720632,127.03239,0.365013,3.030385700692243
28,RMJ151514.1+042310.4,228.8087976940228,4.386217797780727,75.729904,0.094680585,2.0427979671601175
29,RMJ155953.9+220822.7,239.97459324946618,22.139645502545577,152.05054,-1.0,2.0656632556687446
30,RMJ090644.9+101902.4,136.6871742577847,10.317327363252254,72.49585,0.13744175,0.07712351660744754
31,RMJ075613.3+301356.4,119.05552323533595,30.232331627634416,147.03166,0.44108585,1.0603224091963226
32,RMJ231912.2-022704.4,349.80081010272477,-2.4512182171440147,70.10082,0.10932119,0.8652333054490252
33,RMJ153641.2-020125.2,234.1717837489919,-2.0236755390906205,81.95393,0.14353341,3.1691288009403764
34,RMJ004118.5+252609.1,10.32710489474789,25.43585063121003,80.443695,-1.0,1.1063187749132257
