,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
63,PSZ2 G020.08+37.47,244.0674803,6.913715,0.332806,5.477802,            ,RMJ161610.2+065504.4
64,PSZ2 G020.21-36.84,313.008337,-25.4826159,-1.0,0.0,            ,                    
65,PSZ2 G020.49-47.35,324.4985053,-27.7270179,-1.0,0.0,            ,                    
66,PSZ2 G020.66+37.99,243.8319244,7.5709252,0.345133,5.652531,            ,RMJ161505.4+073455.4
67,PSZ2 G021.02-29.04,305.1024838,-22.447902,-1.0,0.0,            ,                    
68,PSZ2 G021.08+38.00,243.9821976,7.859834,0.3815,6.165772,            ,RMJ161556.0+074819.1
69,PSZ2 G021.10+33.24,248.1988722,5.5921886,0.1514,7.788315,J1632.7+0534,                    
70,PSZ2 G021.36-43.02,319.8962353,-26.2017251,0.38,5.8108,            ,                    
71,PSZ2 G022.03+17.75,262.1523015,-1.2175534,-1.0,0.0,            ,                    
72,PSZ2 G022.12-38.81,315.5511138,-24.5728726,0.188,3.731324,J2102.1-2431,                    
73,PSZ2 G022.98+19.49,261.0687148,0.4154682,0.4044,6.790033,            ,                    
74,PSZ2 G023.05+20.52,260.1954405,0.9684972,-1.0,0.0,            ,                    
75,PSZ2 G023.17+86.71,196.4731079,26.5261837,0.3063,5.03305,J1306.0+2630,RMJ130558.9+263048.4
76,PSZ2 G023.40-15.26,292.4921503,-15.1935254,0.0829,2.369741,J1930.0-1509,                    
77,PSZ2 G023.87-13.88,291.3960142,-14.2055305,-1.0,0.0,            ,                    
78,PSZ2 G024.44+22.76,258.8351714,3.1718234,0.1647,4.505844,J1715.2+0309,                    
79,PSZ2 G024.46-18.08,295.5950788,-15.435756,-1.0,0.0,            ,                    
80,PSZ2 G025.02-41.49,319.0394079,-23.1940252,-1.0,0.0,            ,                    
81,PSZ2 G025.07-78.64,0.0902461,-28.1002628,-1.0,0.0,            ,                    
82,PSZ2 G025.13-75.88,356.9603376,-28.1425857,0.03,1.480293,J2347.7-2808,                    
83,PSZ2 G025.89-46.67,324.677505,-23.9849329,-1.0,0.0,            ,                    
84,PSZ2 G026.09-25.62,303.4277679,-17.0251996,-1.0,0.0,            ,                    
85,PSZ2 G026.34-58.64,337.6571827,-26.2663523,-1.0,0.0,            ,                    
86,PSZ2 G026.73-38.94,316.8428413,-21.1840067,0.202,5.409047,            ,                    
87,PSZ2 G027.23+15.73,266.2912277,2.2181935,-1.0,0.0,            ,                    
88,PSZ2 G027.28+23.79,259.1370903,5.9641825,-1.0,0.0,            ,                    
89,PSZ2 G027.39+15.39,266.6611649,2.1910506,-1.0,0.0,            ,                    
90,PSZ2 G027.77+10.88,270.8407059,0.4326642,-1.0,0.0,            ,                    
91,PSZ2 G027.77-49.72,328.2464403,-23.5522864,-1.0,0.0,            ,                    
92,PSZ2 G027.81-45.93,324.2875033,-22.5132554,-1.0,0.0,            ,                    
93,PSZ2 G027.92+15.54,266.7671927,2.71152,-1.0,0.0,            ,                    
94,PSZ2 G027.99-69.85,350.2087969,-27.0299802,-1.0,0.0,            ,                    
95,PSZ2 G028.05+25.43,257.9791287,7.3229711,0.284,6.629104,            ,                    
96,PSZ2 G028.08+10.79,271.0559615,0.6584937,0.0882,3.285987,J1804.1+0042,                    
97,PSZ2 G028.15-08.62,288.4216367,-8.1405854,-1.0,0.0,            ,                    
98,PSZ2 G028.63+50.15,235.0331729,17.8986616,0.0916,3.249135,J1540.1+1752,RMJ154018.0+175304.2
99,PSZ2 G028.77-33.56,312.0614471,-17.8089661,0.1475,4.514435,J2048.1-1750,                    
100,PSZ2 G028.89+60.13,225.0904835,21.3594324,0.153,4.542624,J1500.3+2121,RMJ150019.5+212209.9
101,PSZ2 G029.06+44.55,240.5867533,16.0912718,0.0353,3.527035,J1602.3+1601,                    
102,PSZ2 G029.55-60.16,339.6533439,-24.9363062,-1.0,0.0,            ,                    
103,PSZ2 G029.66-47.63,326.4342608,-21.780224,-1.0,0.0,            ,                    
104,PSZ2 G029.80-17.40,297.1337388,-10.5277573,-1.0,0.0,            ,                    
105,PSZ2 G029.87-17.81,297.5458413,-10.6418568,-1.0,0.0,            ,                    
