index,pix,ra,dec
0,22951680682,132.22174774775507,48.00913492714254
1,21482986154,100.09510833617416,57.330533254882084
2,25322199722,156.20859817959845,49.593828393606735
3,24804468053,148.25591286247166,52.17570968542931
4,21488409258,99.91618058333002,58.03079917079834
5,23292497919,139.8363210977707,52.1861129155356
6,22641531562,126.57541624394128,47.64155361764914
7,24281427968,150.86142247087383,66.5577989336542
8,25140746922,155.218236439041,48.972836376440064
9,23703952042,128.913936809816,66.01220853879745
10,25143338325,156.11355661505823,48.997283958129195
11,21863570090,118.86457431381025,52.9087775359429
12,23714994858,129.07583473870156,65.66752893435687
13,21746195114,109.24184939248453,54.4102036346122
14,21481429674,99.10874767875201,57.4168770584822
15,24300821162,152.48985381577415,71.47552555043917
16,25141399551,155.66081937149931,48.91876465400531
17,22101662378,116.69792033852553,59.96418857064738
18,23970650794,138.08922741479006,60.6508606605775
19,23703214762,128.070888382474,66.15697015200037
