index,RAdeg,DEdeg
1,227.0613504,57.89178270000001
2,238.1345929,62.0544767
3,218.8387509,55.1413497
4,223.2487748,58.0365774
5,246.9034349,65.3963172
6,223.8161822,58.875241
7,248.9776437,66.20231360000001
8,231.0525489,62.0227094
9,216.77906940000003,55.7497044
10,238.0378194,65.3405399
11,217.1485398,56.8765835
12,248.6713702,67.6422796
13,213.6782168,54.78357439999999
14,239.0257278,66.3544668
15,261.92800980000004,70.5941469
16,236.709588,69.944118
17,212.5897378,59.68012020000001
18,284.2922956000001,74.9308604
19,216.3149012,63.1859924
20,207.2301211,57.3468712
21,216.7773374,65.65281139999999
22,275.8330354,78.3892813
23,209.9355974,62.52795010000001
24,256.1004654,78.6324689
25,203.9932388,59.2209707
26,213.53322290000003,71.2822934
27,213.3063164,74.2920474
28,209.9422379,72.1211964
29,238.7603531,84.163702
30,205.4878996,74.4514115
31,208.6942852,77.2477318
32,261.2307967,85.8912428
33,198.5514249,64.5642919
34,199.9846329,70.0739098
35,195.886937,67.441544
36,194.5722833,65.3599587
37,187.9436166,82.4100317
38,181.7468564,71.6464721
39,179.0066067,73.5113439
40,171.9215869,71.0596055
41,216.6347112,51.252089700000006
42,215.5697601,54.9011005
43,222.8270502,59.3306488
44,257.6109137,68.7320602
45,258.4192833,69.37342559999999
46,239.4819385,70.3849381
47,238.1512045,70.5333574
48,282.1361085,75.0586641
49,245.1021381,79.18157420000001
50,209.7444405,67.44308609999999
51,201.02018930000003,68.66901379999999
52,200.8033323,69.36349799999999
53,199.1191314,72.5242086
54,198.161655,72.8898531
55,185.9744321,86.47086490000002
56,175.51362269999996,83.47784200000002
57,171.3945938,83.9580908
58,161.7858341,78.03349240000001
59,172.005,75.49
60,173.488,75.116
61,177.918,81.077
62,184.311,69.67
63,185.072,75.37
64,185.529,75.438
65,186.073,75.527
66,191.522,70.965
67,194.334,69.506
68,201.312,65.84100000000001
69,202.493,58.569
70,202.746,58.249
71,202.879,62.64
72,205.866,55.782
73,205.939,55.639
74,207.71,60.12600000000001
75,208.705,69.289
76,209.331,62.545
77,209.892,62.317
78,212.566,59.64100000000001
79,212.852,52.21100000000001
80,214.747,49.05
81,215.398,49.552
82,219.243,55.129
83,219.711,64.39399999999999
84,221.027,63.74800000000001
85,228.556,55.464
86,228.73,55.691
87,232.016,69.942
88,235.042,66.188
89,235.295,66.442
90,239.792,63.885
91,241.382,72.14699999999998
92,243.604,68.428
93,250.296,82.541
94,254.904,68.438
95,259.54200000000003,78.02199999999998
96,260.353,67.554
97,261.048,70.007
98,261.067,69.946
99,262.165,70.685
100,262.253,74.678
101,262.621,74.375
102,267.173,70.342
103,267.265,70.245
104,280.878,79.832
105,286.433,78.083
106,295.4290000000001,77.16199999999998
107,300.66,77.896
108,302.476,77.742
