,Unnamed: 0,RAdeg,DEdeg
0,295,227.0613504,57.89178270000001
1,299,238.1345929,62.0544767
2,303,218.8387509,55.1413497
3,306,223.2487748,58.0365774
4,309,246.9034349,65.3963172
5,310,223.8161822,58.875241
6,311,248.9776437,66.20231360000001
7,312,231.0525489,62.0227094
8,316,216.77906940000003,55.7497044
9,319,238.0378194,65.3405399
10,322,217.1485398,56.8765835
11,323,248.6713702,67.6422796
12,325,213.6782168,54.78357439999999
13,327,239.0257278,66.3544668
14,332,261.92800980000004,70.5941469
15,342,236.709588,69.944118
16,347,212.5897378,59.68012020000001
17,348,284.2922956000001,74.9308604
18,349,216.3149012,63.1859924
19,358,207.2301211,57.3468712
20,359,216.7773374,65.65281139999999
21,364,275.8330354,78.3892813
22,365,209.9355974,62.52795010000001
23,368,256.1004654,78.6324689
24,372,203.9932388,59.2209707
25,375,213.53322290000003,71.2822934
26,388,213.3063164,74.2920474
27,390,209.9422379,72.1211964
28,397,238.7603531,84.163702
29,399,205.4878996,74.4514115
30,400,208.6942852,77.2477318
31,401,261.2307967,85.8912428
32,402,198.5514249,64.5642919
33,404,199.9846329,70.0739098
34,408,195.886937,67.441544
35,409,194.5722833,65.3599587
36,416,187.9436166,82.4100317
37,430,181.7468564,71.6464721
38,432,179.0066067,73.5113439
39,438,171.9215869,71.0596055
40,133,216.6347112,51.252089700000006
41,146,215.5697601,54.9011005
42,147,222.8270502,59.3306488
43,150,257.6109137,68.7320602
44,153,258.4192833,69.37342559999999
45,158,239.4819385,70.3849381
46,160,238.1512045,70.5333574
47,164,282.1361085,75.0586641
48,172,245.1021381,79.18157420000001
49,173,209.7444405,67.44308609999999
50,179,201.02018930000003,68.66901379999999
51,181,200.8033323,69.36349799999999
52,182,199.1191314,72.5242086
53,185,198.161655,72.8898531
54,189,185.9744321,86.47086490000002
55,194,175.51362269999996,83.47784200000002
56,196,171.3945938,83.9580908
57,206,161.7858341,78.03349240000001
58,528,172.005,75.49
59,535,173.488,75.116
60,555,177.918,81.077
61,591,184.311,69.67
62,597,185.072,75.37
63,601,185.529,75.438
64,604,186.073,75.527
65,634,191.522,70.965
66,657,194.334,69.506
67,690,201.312,65.84100000000001
68,698,202.493,58.569
69,699,202.746,58.249
70,701,202.879,62.64
71,726,205.866,55.782
72,727,205.939,55.639
73,736,207.71,60.12600000000001
74,739,208.705,69.289
75,740,209.331,62.545
76,742,209.892,62.317
77,750,212.566,59.64100000000001
78,752,212.852,52.21100000000001
79,763,214.747,49.05
80,766,215.398,49.552
81,782,219.243,55.129
82,783,219.711,64.39399999999999
83,785,221.027,63.74800000000001
84,810,228.556,55.464
85,812,228.73,55.691
86,829,232.016,69.942
87,837,235.042,66.188
88,839,235.295,66.442
89,847,239.792,63.885
90,853,241.382,72.14699999999998
91,860,243.604,68.428
92,879,250.296,82.541
93,898,254.904,68.438
94,917,259.54200000000003,78.02199999999998
95,918,260.353,67.554
96,922,261.048,70.007
97,923,261.067,69.946
98,926,262.165,70.685
99,927,262.253,74.678
100,928,262.621,74.375
101,944,267.173,70.342
102,945,267.265,70.245
103,1008,280.878,79.832
104,1015,286.433,78.083
105,1027,295.4290000000001,77.16199999999998
106,1033,300.66,77.896
107,1038,302.476,77.742
