,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
6962,6962,RMJ214411.8+024718.6,326.04926689897627,2.7885137935163096,67.04983,-1.0
6970,6970,RMJ132646.3+541846.5,201.69305506374488,54.31292093542482,53.56443,0.46767429999999993
6974,6974,RMJ020935.4+271519.3,32.397361334270265,27.255359952484735,66.56166999999999,-1.0
6976,6976,RMJ153845.6-013913.9,234.6901945773934,-1.6538554460072348,57.027306,-1.0
6979,6979,RMJ000817.5-003906.7,2.0727499239259224,-0.6518475375475177,85.0507,-1.0
6985,6985,RMJ114823.1+580639.4,177.09637681964128,58.1109556482477,73.80778000000001,-1.0
6990,6990,RMJ135013.3+341337.5,207.5552854083076,34.22707651380004,70.10082,0.52141905
6991,6991,RMJ130928.3+444308.8,197.36791594687682,44.71911141794832,81.06914499999999,-1.0
7002,7002,RMJ232034.6+294402.0,350.14406011284154,29.73388405852696,51.672813,-1.0
7010,7010,RMJ111539.3+514528.7,168.91376115029,51.757960541982925,62.732666,-1.0
7025,7025,RMJ095408.1+404106.7,148.53384437277197,40.68520500938936,62.137726,0.4761862
7027,7027,RMJ075558.5+161532.2,118.99375963856414,16.258932341830374,55.395027,0.46848074
7033,7033,RMJ002431.8+093520.0,6.1325576833679065,9.588885502486356,66.19555,-1.0
7036,7036,RMJ015024.7+114351.4,27.6027448427497,11.730932703381006,57.805313,0.4118773
7038,7038,RMJ232904.9+195845.3,352.27033655676763,19.97924242523895,56.905266000000005,-1.0
7044,7044,RMJ145411.3+315659.4,223.54718410680985,31.94984315798781,50.665985,0.4903142
7045,7045,RMJ162206.0+244049.2,245.5250893376486,24.680336621040894,90.573,-1.0
7054,7054,RMJ135249.5+470740.8,208.20638915929246,47.12799559251622,65.67688000000001,-1.0
7055,7055,RMJ134700.5+250350.7,206.7521684020508,25.06409119103024,56.142517000000005,0.4303088
7056,7056,RMJ092252.4+533243.6,140.71854147590804,53.54545486563892,54.0831,-1.0
7073,7073,RMJ083736.6+015840.8,129.40250759001032,1.978007881514705,52.69489300000001,0.3916842
7087,7087,RMJ233330.8-005629.5,353.37824969017316,-0.9415256575124008,70.16184,0.5081553
7091,7091,RMJ010245.5+110954.0,15.689514681741517,11.164987429696536,69.292305,-1.0
7093,7093,RMJ012326.6-074847.1,20.86094218969548,-7.813074116196767,79.3911,-1.0
7094,7094,RMJ014133.6+110018.4,25.389812261563858,11.005098965500212,65.82943,-1.0
7097,7097,RMJ103840.2+520512.6,159.66742332794286,52.0868376978627,51.459244,-1.0
