,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
735,PSZ2 G151.86-75.04,20.2488992,-13.8593408,0.0519,1.671549,J0120.9-1351,                    
736,PSZ2 G151.90+11.63,78.8513516,58.7099266,0.1203,3.862952,J0515.3+5845,                    
737,PSZ2 G152.33+81.28,187.6698694,34.6289677,0.3331,5.358087,J1230.7+3439,RMJ123030.5+343801.4
740,PSZ2 G152.70+25.46,106.096311,63.3172952,0.098,2.945928,J0704.4+6318,                    
741,PSZ2 G153.00-58.26,28.14512,0.9903359,0.227,5.04463,J0152.7+0100,RMJ015242.0+010025.5
742,PSZ2 G153.29+36.56,130.6775589,62.6758305,0.65,6.31553,            ,                    
744,PSZ2 G153.57+36.26,129.9421844,62.5147788,0.132,3.373701,            ,                    
747,PSZ2 G154.13+40.19,137.8075765,61.1323961,0.289825,5.468107,            ,RMJ091105.6+610747.4
748,PSZ2 G155.10-49.97,33.0806075,7.7805326,0.459,6.570337,            ,                    
749,PSZ2 G155.27-68.42,24.3337522,-8.4815283,0.566,8.934781,            ,RMJ013725.0-082722.7
750,PSZ2 G155.46-60.15,28.3866404,-1.2659784,0.2438,4.261919,J0153.5-0118,RMJ015334.3-011808.7
751,PSZ2 G155.80+70.40,178.4833022,42.8599617,0.333145,4.419779,            ,RMJ115353.2+425213.2
752,PSZ2 G155.95-72.13,22.6949779,-11.8314252,0.62,6.468981,            ,                    
754,PSZ2 G156.26+59.64,167.1023604,50.2811122,0.587747,6.767759,            ,RMJ110830.0+501602.9
757,PSZ2 G157.32-26.77,47.2494391,26.7586021,0.356,10.755582,J0308.9+2645,                    
758,PSZ2 G157.43+30.34,117.2381631,59.6949221,0.45,8.122155,            ,                    
759,PSZ2 G157.63+78.02,184.3871544,36.7167322,0.377025,5.557393,            ,RMJ121731.2+364111.3
760,PSZ2 G157.82+21.28,100.1216591,57.7474951,0.43,7.009147,            ,                    
761,PSZ2 G158.35-47.49,36.2106231,8.8498959,0.305,5.659596,            ,                    
764,PSZ2 G159.86+42.57,139.8791204,56.3460071,0.269608,4.612375,            ,RMJ091944.3+562201.4
765,PSZ2 G159.91-73.50,22.9808773,-13.6139947,0.206,8.464249,J0131.8-1336,                    
766,PSZ2 G160.83+81.66,186.7250132,33.5703267,0.888,5.700541,J1226.9+3332,                    
769,PSZ2 G161.39+26.27,110.4010747,55.7629569,0.0381,2.134152,J0721.3+5547,                    
771,PSZ2 G161.94-48.17,37.8754558,6.9716213,0.2203,6.535912,            ,                    
772,PSZ2 G162.33+25.03,108.5623312,54.6900499,0.1043,2.852628,J0714.3+5441,                    
773,PSZ2 G162.49-71.98,24.5099651,-12.797438,0.2108,4.643719,J0137.9-1248,                    
776,PSZ2 G163.61+34.30,124.7098793,54.5333069,0.595861,5.759564,            ,RMJ081857.0+543153.8
777,PSZ2 G163.69+53.52,155.5974894,50.1197468,0.158,4.733641,J1022.5+5006,RMJ102228.4+500620.2
778,PSZ2 G163.87+48.54,148.2005391,51.8882756,0.214,3.621027,J0952.7+5153,RMJ095249.2+515305.4
780,PSZ2 G164.18-38.88,44.7278192,13.5662275,0.0739,6.745817,J0258.9+1334,                    
781,PSZ2 G164.29+08.94,85.8488076,46.953385,0.2505,6.186835,            ,                    
782,PSZ2 G164.31-39.46,44.4519682,13.0469689,0.0722,5.239323,J0257.8+1302,                    
783,PSZ2 G164.65+46.37,144.5898109,52.0335515,0.342,6.009507,            ,RMJ093819.7+520304.5
785,PSZ2 G165.06+54.13,155.9403903,49.1327314,0.144,4.94346,J1023.6+4907,RMJ102339.9+490838.4
786,PSZ2 G165.12+14.05,93.1423246,48.6259389,0.067,2.367529,J0612.6+4836,                    
789,PSZ2 G165.46+66.15,170.9185681,43.0135044,0.1957,3.699136,            ,RMJ112337.7+430328.0
790,PSZ2 G165.68+44.01,140.5859413,51.8876239,0.209733,3.755907,            ,RMJ092200.5+515521.0
791,PSZ2 G165.76+31.15,119.5415431,52.5986077,0.259,4.432208,            ,                    
792,PSZ2 G165.95+41.01,135.7226865,52.2020525,0.0619,1.785652,            ,RMJ090302.2+521332.2
793,PSZ2 G166.09+43.38,139.4836477,51.7220555,0.2172,6.847479,J0917.8+5143,RMJ091753.4+514337.5
797,PSZ2 G166.62+42.13,137.3948493,51.548926,0.23225,5.335297,            ,                    
