,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
171,PSZ2 G045.50-08.62,296.3535003,7.074746,-1.0,0.0,            ,                    
175,PSZ2 G045.96-26.94,312.5348829,-1.5905275,-1.0,0.0,            ,                    
179,PSZ2 G046.36-06.83,295.1839418,8.6860484,-1.0,0.0,            ,                    
180,PSZ2 G046.39+11.71,278.2491827,17.1920439,-1.0,0.0,            ,                    
184,PSZ2 G047.53+08.55,281.7441112,16.8431644,-1.0,0.0,            ,                    
192,PSZ2 G048.39-16.78,304.889445,5.4829465,-1.0,0.0,            ,                    
193,PSZ2 G048.47+34.86,255.535051,27.1466809,-1.0,0.0,            ,                    
205,PSZ2 G050.98-61.48,344.7463111,-15.6081384,-1.0,0.0,            ,                    
206,PSZ2 G051.40-61.15,344.5480214,-15.2724286,-1.0,0.0,            ,                    
207,PSZ2 G051.48-30.87,318.3988536,0.5196467,-1.0,0.0,            ,                    
208,PSZ2 G052.08+46.13,243.4439272,32.081382,-1.0,0.0,            ,                    
210,PSZ2 G052.93+10.42,282.3867612,22.4540506,-1.0,0.0,            ,                    
216,PSZ2 G053.80+36.49,254.9007904,31.7431899,-1.0,0.0,            ,                    
226,PSZ2 G056.38+23.36,270.3845214,30.3961509,-1.0,0.0,            ,                    
232,PSZ2 G057.09+11.19,283.5194099,26.4829979,-1.0,0.0,            ,                    
239,PSZ2 G057.92-07.40,301.6444232,18.3115708,-1.0,0.0,            ,                    
241,PSZ2 G058.31+41.96,249.0507832,36.0554112,-1.0,0.0,            ,                    
242,PSZ2 G058.42-33.50,323.8823279,3.8817702,-1.0,0.0,            ,                    
247,PSZ2 G059.52+16.23,279.3393414,30.6641929,-1.0,0.0,            ,                    
249,PSZ2 G059.76+14.59,281.1949274,30.2467736,-1.0,0.0,            ,                    
265,PSZ2 G064.98+16.71,281.1498974,35.6970266,-1.0,0.0,            ,                    
268,PSZ2 G065.35-08.01,306.5168037,24.1352004,-1.0,0.0,            ,                    
276,PSZ2 G066.34+26.14,270.3078367,39.8545838,-1.0,0.0,            ,                    
278,PSZ2 G066.59-58.51,346.8558241,-7.5423163,-1.0,0.0,            ,                    
280,PSZ2 G066.76-08.42,307.7695687,25.0447577,-1.0,0.0,            ,                    
281,PSZ2 G066.85+22.48,275.041603,39.298493,-1.0,0.0,            ,                    
283,PSZ2 G067.21-20.49,318.3644835,18.0578647,-1.0,0.0,            ,                    
286,PSZ2 G067.72-24.13,321.599396,16.0812246,-1.0,0.0,            ,                    
292,PSZ2 G069.35-15.58,315.6864124,22.7359704,-1.0,0.0,            ,                    
293,PSZ2 G069.39+68.05,215.404355,38.3612665,-1.0,0.0,            ,                    
294,PSZ2 G069.47-29.06,326.5036007,13.9876075,-1.0,0.0,            ,                    
302,PSZ2 G071.67-42.76,337.7250414,5.7014501,-1.0,0.0,            ,                    
303,PSZ2 G071.82-56.55,347.3864743,-4.158332,-1.0,0.0,            ,                    
309,PSZ2 G072.96-12.26,315.3094898,27.5524376,-1.0,0.0,            ,                    
318,PSZ2 G075.08+19.83,281.6991477,45.7759109,-1.0,0.0,            ,                    
322,PSZ2 G075.85+15.53,287.7883349,44.9173139,-1.0,0.0,            ,                    
325,PSZ2 G076.51+21.73,279.6574426,47.6284285,-1.0,0.0,            ,                    
326,PSZ2 G076.55+60.29,223.0302144,44.4554226,-1.0,0.0,            ,                    
327,PSZ2 G076.81-32.57,333.6921942,15.9245249,-1.0,0.0,            ,                    
329,PSZ2 G077.67+30.59,266.7472334,50.4719546,-1.0,0.0,            ,                    
332,PSZ2 G078.10-83.83,8.1529837,-22.6780569,-1.0,0.0,            ,                    
336,PSZ2 G079.36+38.06,254.8538954,52.0756631,-1.0,0.0,            ,                    
350,PSZ2 G081.60+18.47,286.7627851,51.1126157,-1.0,0.0,            ,                    
352,PSZ2 G082.06+27.23,273.041291,53.8116766,-1.0,0.0,            ,                    
354,PSZ2 G082.37+22.35,281.1318061,53.0124825,-1.0,0.0,            ,                    
358,PSZ2 G083.56+24.90,277.3859931,54.6932029,-1.0,0.0,            ,                    
363,PSZ2 G084.15-08.63,320.936274,38.1347432,-1.0,0.0,            ,                    
370,PSZ2 G084.69-58.60,354.0406087,-1.4336188,-1.0,0.0,            ,                    
377,PSZ2 G085.95+25.23,277.6164185,56.8822692,-1.0,0.0,            ,                    
379,PSZ2 G086.07-41.99,345.6385062,12.9522754,-1.0,0.0,            ,                    
380,PSZ2 G086.28+74.76,204.4772973,38.8707525,-1.0,0.0,            ,                    
381,PSZ2 G086.35-13.94,327.4345076,35.7104154,-1.0,0.0,            ,                    
388,PSZ2 G086.85-81.39,7.4784903,-20.0748446,-1.0,0.0,            ,                    
393,PSZ2 G087.39-34.58,342.3067817,19.7138902,-1.0,0.0,            ,                    
399,PSZ2 G089.06-11.79,328.2214948,39.0645842,-1.0,0.0,            ,                    
406,PSZ2 G090.12-13.87,330.9178989,38.0894859,-1.0,0.0,            ,                    
409,PSZ2 G091.27-38.62,347.3346166,17.8952747,-1.0,0.0,            ,                    
411,PSZ2 G091.56+08.50,309.0663098,54.9835623,-1.0,0.0,            ,                    
414,PSZ2 G092.11-33.73,345.4059019,22.4832542,-1.0,0.0,            ,                    
417,PSZ2 G092.34+14.22,301.0280606,58.7275938,-1.0,0.0,            ,                    
418,PSZ2 G092.46-35.22,346.4589494,21.3244338,-1.0,0.0,            ,                    
419,PSZ2 G092.64+20.78,289.1859218,61.6802362,-1.0,0.0,            ,                    
