,MCXC,OName,AName,RAdeg,DEdeg,z,M500
395,J0532.9-3701,RXCJ0532.9-3701   ,                                                      ,83.231,-37.024,0.2708,5.1091
396,J0533.3-3619,RXCJ0533.3-3619   ,S0535                                                 ,83.327,-36.326,0.0479,0.7294
397,J0533.8-5746,BVH2007 72        ,VMF98 45                                              ,83.471,-57.779,0.297,1.2658
398,J0533.9-5809,RX J0533.9-5809   ,VMF98 46                                              ,83.483,-58.154,0.198,0.556
399,J0538.2-2037,RXCJ0538.2-2037   ,A3358                                                 ,84.568,-20.623,0.0915,1.8866
400,J0539.0-2833,MS0537.1-2834     ,                                                      ,84.768,-28.551,0.254,0.9111
401,J0540.1-4050,RXCJ0540.1-4050   ,S0540                                                 ,85.026,-40.842,0.0358,1.2212
402,J0540.1-4322,RXCJ0540.1-4322   ,A3360                                                 ,85.042,-43.382,0.085,1.6874
403,J0542.1-2607,RXCJ0542.1-2607   ,CID 36                                                ,85.539,-26.124,0.039,0.853
404,J0542.8-4100,BVH2007 73        ,                                                      ,85.712,-41.001,0.642,2.9996
405,J0543.4-4430,RXCJ0543.4-4430   ,                                                      ,85.852,-44.505,0.1637,3.2882
406,J0544.2-2555,BVH2007 74        ,                                                      ,86.055,-25.928,0.26,1.035
407,J0545.4-2556,RXCJ0545.4-2556   ,A0548W                                                ,86.363,-25.939,0.0424,0.5018
408,J0545.5-4756,RXCJ0545.5-4756   ,A3363                                                 ,86.377,-47.94,0.1254,2.5766
409,J0547.0-3904,MACSJ0547.0-3904  ,                                                      ,86.756,-39.074,0.319,4.3
410,J0547.6-3152,RXCJ0547.6-3152   ,A3364                                                 ,86.909,-31.875,0.1483,4.5029
411,J0547.7-4723,RXCJ0547.7-4723   ,S0547                                                 ,86.94,-47.39,0.0515,0.6695
412,J0548.6-2527,RXCJ0548.6-2527   ,A0548E                                                ,87.165,-25.458,0.042,1.3823
413,J0548.8-2154,RXCJ0548.8-2154   ,                                                      ,87.21,-21.912,0.0928,1.6591
414,J0552.8-2103,RXCJ0552.8-2103   ,A0550                                                 ,88.218,-21.057,0.0989,3.1912
415,J0553.4-0558,RXC J0553.4-0558  ,                                                      ,88.363,-5.968,0.151,3.0695
416,J0557.2-3727,RXCJ0557.2-3727   ,S0555                                                 ,89.305,-37.466,0.0442,0.9722
417,J0600.8-5835,RXCJ0600.8-5835   ,S0560                                                 ,90.201,-58.587,0.0369,0.4321
418,J0601.7-3959,RXCJ0601.7-3959   ,A3376                                                 ,90.44,-39.993,0.0468,1.9761
419,J0602.0+5315,RXC J0602.0+5315  ,                                                      ,90.506,53.263,0.051,1.1167
420,J0602.1+2309,RXC J0602.1+2309  ,                                                      ,90.531,23.166,0.0654,2.5321
421,J0603.8+2939,RXC J0603.8+2939  ,                                                      ,90.957,29.665,0.03,0.9853
422,J0604.6+4257,RXC J0604.6+4257  ,                                                      ,91.165,42.953,0.118,2.9167
423,J0605.8-3518,RXCJ0605.8-3518   ,A3378                                                 ,91.47,-35.3,0.1392,4.4761
424,J0607.0-4928,RXCJ0607.0-4928   ,A3380                                                 ,91.756,-49.483,0.0553,0.841
425,J0610.5-4848,BVH2007 75        ,                                                      ,92.633,-48.807,0.243,1.2692
426,J0612.6+4836,RXC J0612.6+4836  ,A0553                                                 ,93.153,48.602,0.067,1.9016
427,J0616.3-2156,RXC J0616.3-2156  ,                                                      ,94.082,-21.948,0.171,3.3321
428,J0616.5-3948,RXCJ0616.5-3948   ,S0579                                                 ,94.131,-39.8,0.152,3.4712
429,J0616.8-4748,RXCJ0616.8-4748   ,                                                      ,94.223,-47.805,0.1164,2.4118
430,J0618.6+6724,RXC J0618.5+6724  ,A0554                                                 ,94.65,67.407,0.1127,1.7437
431,J0621.7-5242,RXCJ0621.7-5242   ,                                                      ,95.432,-52.703,0.0511,0.9466
432,J0624.6-3720,RXCJ0624.6-3720   ,A3390                                                 ,96.153,-37.336,0.0333,0.599
433,J0624.7-5240,MS0623.6-5238     ,                                                      ,96.197,-52.679,0.074,0.6629
434,J0625.2-5521,MS0624.3-5519     ,                                                      ,96.318,-55.352,0.118,1.336
435,J0626.3-5341,RXCJ0626.3-5341   ,A3391                                                 ,96.595,-53.695,0.0514,2.1612
436,J0627.1-3529,RXCJ0627.1-3529   ,A3392                                                 ,96.784,-35.489,0.0554,1.6778
437,J0627.2-5428,RXCJ0627.2-5428   ,A3395                                                 ,96.81,-54.47,0.0506,2.3989
438,J0628.8-4143,RXCJ0628.8-4143   ,A3396                                                 ,97.207,-41.728,0.1759,4.3533
439,J0629.1+4606,RXC J0629.1+4606  ,                                                      ,97.291,46.101,0.129,2.2924
440,J0631.3-5610,RXCJ0631.3-5610   ,                                                      ,97.836,-56.172,0.054,1.2855
441,J0631.3+2500,RXC J0631.3+2500  ,ZwCl 0628.1+2502                                      ,97.839,25.016,0.081,2.685
442,J0632.0+2519,RXC J0632.0+2519  ,                                                      ,98.006,25.327,0.075,1.5874
443,J0634.5-6226,BVH2007 76        ,                                                      ,98.642,-62.446,0.27,1.522
444,J0635.0+2231,RXC J0635.0+2231  ,                                                      ,98.764,22.525,0.068,3.8399
445,J0635.4-6234,BVH2007 77        ,A3398                                                 ,98.868,-62.568,0.157,1.0108
446,J0637.3-4828,RXCJ0637.3-4828   ,A3399                                                 ,99.329,-48.478,0.2026,3.8211
447,J0638.1+4747,RXC J0638.1+4747  ,ZwCl 0634.1+4750                                      ,99.531,47.791,0.174,4.6614
448,J0638.7-5358,RXCJ0638.7-5358   ,S0592                                                 ,99.694,-53.972,0.2266,6.8771
449,J0640.1-1253,RXC J0640.1-1253  ,                                                      ,100.033,-12.889,0.135,5.4507
450,J0643.4+4214,RXC J0643.4+4214  ,                                                      ,100.854,42.245,0.091,4.1975
451,J0645.4-5413,RXCJ0645.4-5413   ,A3404                                                 ,101.372,-54.219,0.1644,5.8164
452,J0647.8+7014,MACSJ0647.7+7015  ,MCS  J0647.7+7015                                     ,101.959,70.249,0.584,8.8556
453,J0649.3+1801,RXC J0649.3+1801  ,                                                      ,102.345,18.017,0.064,2.1684
454,J0657.0+4246,RXC J0657.0+4246  ,                                                      ,104.253,42.78,0.125,1.9088
