,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
17409,RMJ113640.5+163356.6,174.16888482632964,16.565710563374004,0.4084597,34.312653,1.2660016,0.42354393,0.0,22.65602,21.20424,19.374311,18.692184,18.287374,19.928402
17411,RMJ121506.5+181541.9,183.77715778792373,18.26164865649556,0.4471321,37.04329,1.4068087,0.43599617,0.0,22.804916,20.424559,18.65918,17.855024,17.40974,26.334387
17414,RMJ115403.0+125241.8,178.5125238667112,12.878285940127231,0.57325226,66.88202,2.854932,-1.0,0.0,21.982079,23.061064,19.688602,18.81053,18.326263,31.348373
17416,RMJ082538.3+290928.7,126.40977406583396,29.157975245204852,0.5241597,51.596535,2.3520439,0.5417994,0.0,23.338161,22.12045,20.07994,19.115126,18.641893,26.065596
17418,RMJ003444.6-015719.0,8.685759075130662,-1.955290196527418,0.48757493,41.45198,1.9437652,0.53786874,0.0,22.238625,22.408659,20.454418,19.487268,19.040934,19.536076
17421,RMJ014512.8+085118.6,26.30327432401566,8.855154704922368,0.42493784,33.412605,1.4779245,0.4061374,0.0,24.031693,20.790339,18.924238,18.223488,17.796776,20.810831
17422,RMJ214054.7+013030.0,325.22788279350556,1.508326388418019,0.41683072,30.209063,1.2229927,-1.0,0.0,23.543869,20.852156,19.289799,18.647655,18.285536,21.920069
17423,RMJ085525.1+080033.0,133.85440996851673,8.009164901976911,0.48593155,42.15371,1.9612615,0.48667318,0.0,23.345638,21.181812,19.3221,18.427443,17.926367,23.996984
17424,RMJ014153.3+160121.9,25.471973925885095,16.022750749730864,0.40709555,37.50094,1.3113211,-1.0,0.0,25.881863,20.942062,19.447868,18.78335,18.47589,27.43688
17425,RMJ224108.4-045157.1,340.2849837571174,-4.865848990695098,0.39400348,31.58201,1.1424407,-1.0,0.0,22.628126,19.764326,18.053013,17.40055,16.98899,24.06596
17427,RMJ234152.5+192040.0,355.46893835974333,19.344441328750342,0.46473852,43.557167,1.82396,-1.0,0.0,24.376074,22.477892,20.422125,19.58363,18.987402,20.39191
17428,RMJ221937.5-004720.4,334.9061956024855,-0.7890094827840879,0.49485537,56.478127,2.1964247,-1.0,0.0,23.620268,21.61023,19.602644,18.70707,18.213942,28.082975
17429,RMJ224217.9+294425.6,340.5744332570238,29.740433645035395,0.40692303,31.94813,1.2589725,-1.0,0.0,26.656347,20.908792,19.174732,18.47773,18.081097,26.017538
17432,RMJ155555.5+512831.6,238.98132964017674,51.47544615437286,0.47947016,39.102715,1.5478415,-1.0,0.0,25.090332,21.936005,19.979193,19.209024,18.765043,26.293657
17435,RMJ002522.6-044341.6,6.344240833195343,-4.728209628287241,0.3777153,31.94813,1.1478791,-1.0,0.0,21.398872,20.628246,18.938732,18.328651,17.937328,24.166904
17437,RMJ112516.3+122930.9,171.3180821324129,12.491922040693952,0.4328568,36.11274,1.3931429,0.44965017,0.0,26.857452,20.430986,18.555828,17.735731,17.506063,22.83501
17438,RMJ084852.7+261906.5,132.21969787377233,26.31846641557135,0.51729494,61.939407,2.1630254,-1.0,0.0,25.754095,21.162619,19.224983,18.234648,17.750635,35.211304
17441,RMJ230813.7+232736.0,347.05726241290216,23.45999931971705,0.45329943,49.06421,2.0534887,-1.0,0.0,25.680706,21.709702,20.058578,19.389,18.87835,20.297503
17442,RMJ024856.7-072843.5,42.23636374891079,-7.478750995211597,0.37756452,35.5483,1.1756421,0.40780482,0.0,21.20839,20.314457,18.353369,17.699057,17.368788,23.576336
17443,RMJ235332.9+202707.9,358.3872661157856,20.452190474728212,0.42429647,37.745018,1.4501567,-1.0,0.0,22.319086,20.835823,19.138273,18.421818,18.048784,22.787859
17446,RMJ155026.9+231529.9,237.61201613091458,23.258307251695772,0.4294019,31.063341,1.3480539,0.4218552,0.0,20.965225,20.423786,18.799511,18.0597,17.721565,20.273733
17447,RMJ215113.8+194002.5,327.807465584359,19.667347839165856,0.4491715,40.979073,1.8291057,-1.0,0.0,25.362501,23.023268,20.246357,19.419725,19.13062,19.972551
17448,RMJ100029.7+283432.4,150.12363067375767,28.575664221750944,0.45949045,32.634605,1.5194782,0.4674034,0.0,24.910551,20.763475,19.012245,18.180567,17.764719,20.202032
17449,RMJ101240.7+071719.5,153.1695619921416,7.288752621859933,0.5629854,61.11564,2.4389265,-1.0,0.0,24.603128,24.731552,21.535507,20.55174,20.169703,32.00828
17451,RMJ021533.3-074025.4,33.88867829884484,-7.673732835232487,0.52336276,46.348824,2.1033545,0.5469874,0.0,23.59339,21.388985,19.566204,18.587929,18.091303,25.94717
17457,RMJ110333.1+222902.9,165.888022408739,22.484151712608824,0.5158385,52.633873,2.1005573,-1.0,0.0,23.580675,21.38374,19.764936,18.64535,18.319233,25.285704
17459,RMJ215040.3+193049.8,327.6679427804609,19.513841255700992,0.4060733,41.513,1.4325845,0.37738717,0.0,21.72724,20.617855,18.860426,18.25391,17.88279,23.0644
17460,RMJ142624.2+063537.9,216.60095212649003,6.593848699604543,0.4275801,35.3805,1.2780714,-1.0,0.0,22.83357,22.415838,20.4585,19.79437,19.385302,18.171858
17462,RMJ081309.9+281447.6,123.29133577974991,28.246545316306978,0.4169254,38.828125,1.3956215,-1.0,0.0,25.254213,21.652536,19.855106,19.130966,18.736748,21.25005
17465,RMJ134417.8+475054.6,206.07402679384623,47.848502005657274,0.48746356,39.712914,1.7064071,-1.0,0.0,25.958982,21.803673,20.048576,19.229593,18.713537,20.33286
17466,RMJ090013.1+224230.4,135.05474622453792,22.708442238091195,0.48039165,46.165764,1.8791994,0.48494962,0.0,23.971704,21.25456,19.650665,18.739702,18.326262,29.511248
17470,RMJ101440.7+285932.0,153.66938301743238,28.992215506807703,0.45187962,36.49411,1.4802325,0.4537349,0.0,22.419176,20.628603,18.92303,18.146736,17.76182,23.341873
17472,RMJ082331.0+211434.5,125.87928242630755,21.242926569062902,0.48325792,37.790787,1.6478004,0.48358467,0.0,23.854345,21.507584,19.746647,18.819254,18.369606,21.78081
17477,RMJ235938.1+100756.3,359.908611881879,10.13230542194294,0.36413208,33.565155,1.12714,-1.0,0.0,21.746824,21.196218,19.52187,18.913507,18.72852,20.494175
17479,RMJ115035.7+194343.7,177.64854569783927,19.728801533590673,0.5411469,62.442825,2.1731737,0.5288044,0.0,22.174072,20.096123,18.599094,17.631657,17.196875,44.393673
17480,RMJ103832.9+454143.3,159.6369068125404,45.69535798321424,0.5062644,47.93534,1.9112138,0.44520622,0.0,25.102413,20.877306,19.154806,18.35175,17.939142,27.116503
17483,RMJ105605.4+275325.6,164.02240417598,27.890435641975916,0.45851663,32.070168,1.5100442,-1.0,0.0,22.767311,20.79834,19.111105,18.372746,17.91251,22.368877
17484,RMJ005821.4-014744.8,14.589277680705791,-1.795791054613254,0.41077834,35.47203,1.2240278,0.41317943,0.0,22.31252,20.898045,19.096952,18.415987,18.029293,23.583488
17485,RMJ010358.8+342237.3,15.99489832162567,34.37702254603791,0.38558128,30.514162,1.1986462,-1.0,0.0,22.29566,19.917059,18.107857,17.467558,17.065695,24.535921
17487,RMJ091238.6+071643.1,138.16062855147098,7.278650182379722,0.50375175,51.062614,2.2077463,-1.0,0.0,22.758621,21.561647,19.783203,18.856941,18.51657,29.845318
17489,RMJ155650.4+200106.0,239.2099392835412,20.0183447658023,0.4600948,45.265724,1.9567915,0.45632184,0.0,23.415854,20.522827,18.921785,18.132729,17.664066,25.5984
17490,RMJ084624.4+571217.8,131.60155172203548,57.20493173886526,0.40668055,35.334732,1.3918939,0.41009897,0.0,21.933748,20.162292,18.40378,17.64991,17.344282,21.461712
17492,RMJ222644.8+285340.9,336.6867760816997,28.89468905172031,0.38057485,30.514162,1.1458762,-1.0,0.0,21.532417,20.299404,18.477764,17.876768,17.46648,23.343084
17494,RMJ120111.7+135044.2,180.2988449681937,13.845621227705161,0.55316496,54.18988,2.5633805,0.54576665,0.0,22.515211,21.008852,19.22151,18.160149,17.717897,31.149359
17497,RMJ091855.2+672107.6,139.7301648903342,67.35212218196318,0.47534335,45.967453,1.8588523,-1.0,0.0,22.192389,21.355257,19.60881,18.80612,18.420118,25.775984
17502,RMJ102039.3+105611.2,155.16391062510343,10.936434296539693,0.48392698,48.97268,1.8824502,0.44530985,0.0,22.892845,20.49864,18.769676,17.950129,17.529337,28.309227
17504,RMJ080420.3+320015.4,121.08468329050385,32.0042774198675,0.41353634,32.832916,1.2560097,0.37548268,0.0,21.637335,20.572386,18.755808,18.073334,17.601688,25.701773
